raw_sample,source_sample,profile_mask_sample,masked_target_type,n_selected_spots,target_cells_in_selected,target_panel_genes,prepared,stage3_missing_types,stage3_dropped_cells
HumanBreastCancerPatient1,highres_humanbreastcancerpatient1,highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages,Monocytes and Macrophages,2561,411,"['SPP1', 'C1QC', 'FCGR3A', 'CD14', 'LYZ', 'CYBB', 'CSF1R', 'TGFBI', 'FCGR2A', 'IL4I1', 'ITGB2', 'SERPINA1', 'MRC1', 'CD163', 'TLR2', 'MAFB', 'MSR1', 'CCR1', 'ITGAX', 'HAVCR2', 'CCL8', 'CD86', 'TGFBR1', 'CD207', 'MMP12', 'TREM2', 'SIGLEC1', 'TMEM37', 'MARCO', 'IL1B', 'GPX3', 'CD209', 'CSF3R', 'CSF2RA', 'CD80', 'CMKLR1', 'CXCL8', 'CD68', 'PDCD1LG2', 'MMRN1', 'IRF5', 'Blank-47', 'CCL7', 'Blank-41']",existing,['Monocytes and Macrophages'],820
HumanColonCancerPatient1,highres_humancoloncancerpatient1,highres_humancoloncancerpatient1_profile_mask_fibroblasts,Fibroblasts,2561,459,"['COL1A1', 'ACTA2', 'MMP11', 'FN1', 'PDGFRB', 'COL5A1', 'PDGFRA', 'CD248', 'DES', 'COL11A1', 'WNT5A', 'TNC', 'SFRP2', 'ITGA1', 'MYH11', 'ELN', 'COL6A3', 'MMP1', 'CSF1', 'FBLN1', 'TGFB3', 'IRS1', 'VCAM1', 'SNAI2', 'FAP', 'PDPN', 'FZD7', 'TNF', 'SMO', 'ANGPT1', 'TNFSF4', 'MFAP5', 'TWIST1', 'CTSG', 'NCAM1', 'MMP2', 'WNT3A', 'FLI1', 'CD1E', 'CCL26']",existing,['Fibroblasts'],746
HumanLungCancerPatient1,highres_humanlungcancerpatient1,highres_humanlungcancerpatient1_profile_mask_plasma_cells,Plasma cells,2561,141,"['XBP1', 'MZB1', 'POU2AF1', 'FCRL5', 'IRF4', 'DERL3', 'CD79A', 'TNFRSF17', 'PDK1', 'CD27', 'PIK3CG', 'ICAM3', 'BST2', 'ICAM2', 'IFNAR2', 'XCR1', 'STAP1', 'Blank-45']",existing,['Plasma cells'],232
HumanMelanomaPatient1,highres_humanmelanomapatient1,highres_humanmelanomapatient1_profile_mask_fibroblasts,Fibroblasts,2561,928,"['COL1A1', 'FN1', 'SFRP2', 'ACTA2', 'COL5A1', 'EGR1', 'PDGFRB', 'PLA2G2A', 'TNC', 'MMP11', 'CD248', 'ELN', 'FBLN1', 'PDGFRA', 'SERPINE1', 'ATF3', 'FGFR1', 'FAP', 'EGFR', 'Blank-37', 'ACKR3', 'COL11A1', 'KIT', 'MMP2', 'AXIN2', 'MYH11', 'SMOC2', 'COL6A3', 'MFAP5', 'ANGPT1', 'ROR1', 'DES', 'FABP2', 'FGFR2', 'CLCA1', 'PRTN3']",existing,['Fibroblasts'],1876
HumanMelanomaPatient2,highres_humanmelanomapatient2,highres_humanmelanomapatient2_profile_mask_b_cells,B cells,2561,150,"['MS4A1', 'CD79B', 'TNFRSF13C', 'CD22', 'BLK', 'CD19', 'CD79A', 'PAX5', 'TNFRSF13B', 'FCER2', 'CXCR5', 'STAP1', 'CR2', 'Blank-34']",existing,"['B cells', 'NK cells']",294
