method,evaluated_spots,unsupported_core_spots,supported_region_spots,unsupported_correct,supported_correct,unsupported_contribution,supported_contribution,abstention_aware_accuracy,incorrect_fraction
CytoSPACE,1290,362,928,0,425,0.0,0.32945736434108525,0.32945736434108525,0.6705426356589147
SVTuner,1290,362,928,347,391,0.2689922480620155,0.30310077519379847,0.5720930232558139,0.42790697674418604
