assigned_type,spots,fraction
Astrocyte,88,0.2430939226519337
Excitatory neuron,68,0.1878453038674033
Inhibitory neuron,191,0.5276243093922652
Neuroblast,1,0.0027624309392265192
Microglia,1,0.0027624309392265192
Oligodendrocyte/OPC,13,0.03591160220994475
