assigned_type,spots,fraction
Inhibitory neuron,191,0.5276243093922652
Astrocyte,88,0.2430939226519337
Excitatory neuron,68,0.1878453038674033
Oligodendrocyte/OPC,13,0.0359116022099447
Neuroblast,1,0.0027624309392265
Microglia,1,0.0027624309392265
