component,gene_index,loading,abs_loading,novelty_weight,gene
1,849,0.29207542246235224,0.29207542246235224,0.8014007003501751,IGKC
1,844,0.2604902560283193,0.2604902560283193,0.4827413706853426,IGHG1
1,846,0.2595044399035698,0.2595044399035698,0.8754377188594297,IGHG3
1,843,0.2376871674963023,0.2376871674963023,0.9589794897448725,IGHA1
1,848,0.18356949168725367,0.18356949168725367,0.9684842421210605,IGHM
1,192,0.15655046145860294,0.15655046145860294,0.9879939969984992,C1QA
1,845,0.141374881652883,0.141374881652883,0.9484742371185593,IGHG2
1,889,0.13666508964840202,0.13666508964840202,0.943471735867934,JCHAIN
1,70,0.12558897850682005,0.12558897850682005,0.9029514757378689,APOC1
1,413,0.11665091560126836,0.11665091560126836,0.31465732866433216,CTSD
1,927,0.11026491556598611,0.11026491556598611,0.8989494747373686,LAPTM5
1,193,0.10526754936497823,0.10526754936497823,0.9824912456228114,C1QB
1,907,-0.09916168888065434,0.09916168888065434,0.8669334667333667,KPNA2
1,953,-0.09621449902201676,0.09621449902201676,0.5977988994497249,LRRC59
1,1021,-0.09521811765777945,0.09521811765777945,0.856928464232116,MGAT4A
1,578,-0.09300442095005712,0.09300442095005712,0.09454727363681836,ERBB2
1,1353,-0.09218546549915953,0.09218546549915953,0.32266133066533265,PSMB3
1,1366,-0.08842871506889505,0.08842871506889505,0.18109054527263635,PSMD3
1,194,0.08171527042716611,0.08171527042716611,0.9704852426213106,C1QC
1,1693,-0.08120967345111353,0.08120967345111353,0.7468734367183592,SUPT4H1
1,1928,-0.0804669585638908,0.0804669585638908,0.2236118059029515,VMP1
1,1871,0.07786959010510809,0.07786959010510809,0.9694847423711856,TYROBP
1,716,-0.07156194002628959,0.07156194002628959,0.663831915957979,GTF2I
1,72,0.07120580558760088,0.07120580558760088,0.06253126563281641,APOE
1,170,-0.07082144909556415,0.07082144909556415,0.8309154577288644,BPTF
1,1230,-0.07077456998581726,0.07077456998581726,0.09654827413706857,PECAM1
1,1343,0.06911675076038082,0.06911675076038082,0.136568284142071,PSAP
1,969,-0.06894855576578583,0.06894855576578583,0.45972986493246626,LUC7L3
1,933,-0.06839078761398353,0.06839078761398353,0.9399699849924963,LDLRAD4
1,544,-0.06791584760556413,0.06791584760556413,0.6903451725862931,EIF4A1
1,978,0.0678925648182127,0.0678925648182127,0.9604802401200601,LYZ
1,595,-0.06778750688921058,0.06778750688921058,0.33266633316658334,EZR
1,614,0.06723650094208049,0.06723650094208049,0.984992496248124,FCGR3A
1,726,-0.06677946168366304,0.06677946168366304,0.2071035517758879,H2AFJ
1,1817,-0.06653483269858532,0.06653483269858532,0.39319659829914955,TOB1
1,594,-0.06549142014681843,0.06549142014681843,0.7813906953476738,EVL
1,128,-0.06364095524682985,0.06364095524682985,0.7963981990995498,ATP6AP1
1,983,-0.06296469183371492,0.06296469183371492,0.47423711855927964,MAGED2
1,1094,-0.06261592193979172,0.06261592193979172,0.6608304152076039,NDUFA13
1,919,-0.06247286697371246,0.06247286697371246,0.3471735867933967,LAMP1
1,1167,-0.06241857700527468,0.06241857700527468,0.735367683841921,NUFIP2
1,694,-0.06132980942738765,0.06132980942738765,0.5942971485742872,GOLPH3
1,1072,0.061312331495039146,0.061312331495039146,0.9544772386193097,MZB1
1,175,-0.06057942778204244,0.06057942778204244,0.23611805902951477,BSG
1,1582,-0.060237355524304474,0.060237355524304474,0.6453226613306653,SLC38A1
1,847,0.06005636293991354,0.06005636293991354,0.9389694847423712,IGHG4
1,19,-0.059513370871614714,0.059513370871614714,0.7648824412206103,ADAR
1,684,-0.0593008393840357,0.0593008393840357,0.15457728864432219,GNAS
1,1139,-0.058654326438715286,0.058654326438715286,0.5087543771885943,NME3
1,68,-0.05722391510791639,0.05722391510791639,0.8829414707353677,APMAP
2,846,-0.34694322967113894,0.34694322967113894,0.8754377188594297,IGHG3
2,70,0.2798384075051459,0.2798384075051459,0.9029514757378689,APOC1
2,848,-0.26819837130465374,0.26819837130465374,0.9684842421210605,IGHM
2,844,-0.26523909362364406,0.26523909362364406,0.4827413706853426,IGHG1
2,849,-0.2273623057901144,0.2273623057901144,0.8014007003501751,IGKC
2,843,-0.21518444557836233,0.21518444557836233,0.9589794897448725,IGHA1
2,192,0.2124881104044785,0.2124881104044785,0.9879939969984992,C1QA
2,193,0.18241492938148596,0.18241492938148596,0.9824912456228114,C1QB
2,413,0.17838269794039158,0.17838269794039158,0.31465732866433216,CTSD
2,978,0.174784917911357,0.174784917911357,0.9604802401200601,LYZ
2,927,0.1737367595594199,0.1737367595594199,0.8989494747373686,LAPTM5
2,845,-0.15155390430667887,0.15155390430667887,0.9484742371185593,IGHG2
2,1343,0.1373496809941972,0.1373496809941972,0.136568284142071,PSAP
2,1871,0.11128091911754,0.11128091911754,0.9694847423711856,TYROBP
2,889,-0.11107750580080801,0.11107750580080801,0.943471735867934,JCHAIN
2,194,0.10974873424086036,0.10974873424086036,0.9704852426213106,C1QC
2,614,0.10777151030091162,0.10777151030091162,0.984992496248124,FCGR3A
2,72,0.1043194696605448,0.1043194696605448,0.06253126563281641,APOE
2,699,0.10032589084495738,0.10032589084495738,0.39519759879939975,GPNMB
2,939,0.09183343877344376,0.09183343877344376,0.5777888944472236,LGMN
2,11,0.09010998522460348,0.09010998522460348,0.9024512256128064,ACP5
2,411,0.08942821893001575,0.08942821893001575,0.12606303151575793,CTSB
2,217,0.08599799257551845,0.08599799257551845,0.5872936468234118,CAPG
2,429,0.07935771383673083,0.07935771383673083,0.9119559779889945,CXCR4
2,419,0.0783605252507366,0.0783605252507366,0.7183591795897949,CTSZ
2,273,0.07583060202005891,0.07583060202005891,0.9009504752376188,CD68
2,706,0.07499110009986626,0.07499110009986626,0.23511755877938967,GRN
2,881,0.07109803391134054,0.07109803391134054,0.9599799899949975,ITGB2
2,613,0.06944123853272736,0.06944123853272736,0.9499749874937469,FCER1G
2,417,0.06899195559288386,0.06899195559288386,0.8839419709854928,CTSS
2,847,-0.06505383645482593,0.06505383645482593,0.9389694847423712,IGHG4
2,1453,0.0630881752343585,0.0630881752343585,0.9629814907453726,RGS1
2,931,0.06094548538761145,0.06094548538761145,0.9559779889944973,LCP1
2,1456,0.060059974472960215,0.060059974472960215,0.751375687843922,RGS2
2,762,0.05937541019763098,0.05937541019763098,0.05502751375687842,HLA-DRA
2,416,0.05866599525485164,0.05866599525485164,0.5122561280640321,CTSL
2,757,0.05772590364557482,0.05772590364557482,0.12106053026513253,HLA-DPA1
2,1508,0.05498965801361335,0.05498965801361335,0.9084542271135567,SAMHD1
2,1841,0.05403310831532058,0.05403310831532058,0.9564782391195598,TRBC2
2,761,0.05337353636279699,0.05337353636279699,0.3561780890445223,HLA-DQB1
2,1050,0.04945150140089632,0.04945150140089632,0.9804902451225613,MS4A6A
2,1832,0.04866310627535024,0.04866310627535024,0.9549774887443722,TRAC
2,1671,-0.04789096037784667,0.04789096037784667,0.1530765382691346,SSR4
2,1870,0.0471353821272314,0.0471353821272314,0.33466733366683343,TYMP
2,1258,-0.04664855880992672,0.04664855880992672,0.9494747373686844,PIM2
2,1637,0.04615070179176945,0.04615070179176945,0.45672836418209106,SPP1
2,1677,0.045933508168707754,0.045933508168707754,0.5637818909454728,STAT1
2,238,0.04549951353556908,0.04549951353556908,0.9429714857428715,CCL5
2,680,0.044984725889268745,0.044984725889268745,0.4222111055527764,GLUL
2,756,0.0449825762376021,0.0449825762376021,0.919959979989995,HLA-DMB
3,848,0.34393125099722116,0.34393125099722116,0.9684842421210605,IGHM
3,70,0.21005063953016137,0.21005063953016137,0.9029514757378689,APOC1
3,907,0.16121304243573084,0.16121304243573084,0.8669334667333667,KPNA2
3,108,0.1484022525754949,0.1484022525754949,0.8584292146073036,ARPC4
3,193,0.14411464713525535,0.14411464713525535,0.9824912456228114,C1QB
3,194,0.12940044014374313,0.12940044014374313,0.9704852426213106,C1QC
3,846,0.12794221162926223,0.12794221162926223,0.8754377188594297,IGHG3
3,429,0.1277378103515969,0.1277378103515969,0.9119559779889945,CXCR4
3,927,0.127518142978389,0.127518142978389,0.8989494747373686,LAPTM5
3,1021,0.12582434391412,0.12582434391412,0.856928464232116,MGAT4A
3,192,0.12270209942537881,0.12270209942537881,0.9879939969984992,C1QA
3,128,0.11704934449089605,0.11704934449089605,0.7963981990995498,ATP6AP1
3,843,0.11634430962894353,0.11634430962894353,0.9589794897448725,IGHA1
3,19,0.11617926238120482,0.11617926238120482,0.7648824412206103,ADAR
3,889,0.1137855889141485,0.1137855889141485,0.943471735867934,JCHAIN
3,433,0.11030014733672876,0.11030014733672876,0.6563281640820411,CYBA
3,953,0.10818518842829954,0.10818518842829954,0.5977988994497249,LRRC59
3,1693,0.10033300280600008,0.10033300280600008,0.7468734367183592,SUPT4H1
3,1453,0.09428839599107815,0.09428839599107815,0.9629814907453726,RGS1
3,1094,0.09015511899165843,0.09015511899165843,0.6608304152076039,NDUFA13
3,1871,0.08722133077161437,0.08722133077161437,0.9694847423711856,TYROBP
3,1354,0.08463097353597222,0.08463097353597222,0.7348674337168584,PSMB4
3,933,0.08239092770797321,0.08239092770797321,0.9399699849924963,LDLRAD4
3,614,0.08162846910489509,0.08162846910489509,0.984992496248124,FCGR3A
3,844,0.07928574930813775,0.07928574930813775,0.4827413706853426,IGHG1
3,1167,0.07788828145141272,0.07788828145141272,0.735367683841921,NUFIP2
3,217,0.07671488170970525,0.07671488170970525,0.5872936468234118,CAPG
3,939,0.07129586935988193,0.07129586935988193,0.5777888944472236,LGMN
3,978,0.07015469657931414,0.07015469657931414,0.9604802401200601,LYZ
3,849,0.06972027129832281,0.06972027129832281,0.8014007003501751,IGKC
3,612,0.06961114948441413,0.06961114948441413,0.7668834417208604,FBXW5
3,716,0.06786593806373153,0.06786593806373153,0.663831915957979,GTF2I
3,273,0.06778377899752232,0.06778377899752232,0.9009504752376188,CD68
3,401,0.06768663202092028,0.06768663202092028,0.9289644822411206,CSK
3,1507,0.06467118373764194,0.06467118373764194,0.13156578289144572,S100A9
3,845,0.06275454610286493,0.06275454610286493,0.9484742371185593,IGHG2
3,492,0.06239517478693131,0.06239517478693131,0.8954477238619309,DNAJC7
3,1694,0.06236235423716935,0.06236235423716935,0.6223111555777889,SURF4
3,1663,0.061142460819216884,0.061142460819216884,0.5227613806903452,SRSF9
3,391,0.0603783382923257,0.0603783382923257,0.5127563781890945,CPNE3
3,1143,0.060351509369396136,0.060351509369396136,0.6363181590795397,NONO
3,1192,0.05927663861031154,0.05927663861031154,0.8284142071035517,PABPC4
3,465,0.05839232256406272,0.05839232256406272,0.8479239619809905,DDX6
3,1268,0.05837837444930742,0.05837837444930742,0.7453726863431716,PLEKHJ1
3,1817,0.057017737838485245,0.057017737838485245,0.39319659829914955,TOB1
3,561,0.056234953880887166,0.056234953880887166,0.7913956978489245,EMC10
3,1353,0.05578905449528199,0.05578905449528199,0.32266133066533265,PSMB3
