region_id,n_spots,region_mass,region_pvalue,region_qvalue,is_unsupported_region
1,1,3.771837009552522,1.0,1.0,False
2,8,40.76962917443244,0.009950248756218905,0.009950248756218905,True
3,11,54.68088988654547,0.004975124378109453,0.004975124378109453,True
4,14,71.73625653565517,0.004975124378109453,0.004975124378109453,True
5,1,5.535900548596238,1.0,1.0,False
6,1,4.544814765157649,1.0,1.0,False
7,1,2.792340628513057,1.0,1.0,False
8,1,5.317430983936388,1.0,1.0,False
9,1,3.410161337268602,1.0,1.0,False
10,1,2.810679461419264,1.0,1.0,False
11,1,2.697072885191817,1.0,1.0,False
12,30,147.5859389839965,0.004975124378109453,0.004975124378109453,True
13,1,5.173411705805229,1.0,1.0,False
14,17,77.75555623025063,0.004975124378109453,0.004975124378109453,True
15,1,2.790368031320419,1.0,1.0,False
16,9,48.650502830402964,0.009950248756218905,0.009950248756218905,True
17,1,2.7397472928824382,1.0,1.0,False
18,1,3.8265912979159347,1.0,1.0,False
19,3,11.299000644770269,1.0,1.0,False
20,2,11.562103600239514,1.0,1.0,False
21,2,7.200720775008335,1.0,1.0,False
22,2,7.671394665720873,1.0,1.0,False
23,1,2.5065343200668586,1.0,1.0,False
24,1,4.097537152690214,1.0,1.0,False
25,4,17.27321233494615,0.7711442786069652,0.7711442786069652,False
26,1,2.7446621353094685,1.0,1.0,False
27,1,4.168795966058176,1.0,1.0,False
28,1,3.4752063245477935,1.0,1.0,False
29,3,12.735841314943908,0.9950248756218906,0.9950248756218906,False
30,1,4.4255559235158906,1.0,1.0,False
31,9,31.433278323427206,0.04477611940298507,0.04477611940298507,True
32,2,7.9581140384180795,1.0,1.0,False
33,1,4.850075333381126,1.0,1.0,False
34,1,2.7458151302090017,1.0,1.0,False
35,2,8.510420633461726,1.0,1.0,False
36,1,3.311617198652019,1.0,1.0,False
37,1,3.6117833793213676,1.0,1.0,False
38,1,5.006262050646496,1.0,1.0,False
39,1,2.980449784348645,1.0,1.0,False
40,2,8.15062334180508,1.0,1.0,False
41,1,5.553070453813629,1.0,1.0,False
42,1,2.6552350529530524,1.0,1.0,False
43,1,2.5574298638520583,1.0,1.0,False
44,1,3.3348817709542735,1.0,1.0,False
45,2,7.142747482084223,1.0,1.0,False
46,1,3.018192583756568,1.0,1.0,False
47,1,3.4124726306250857,1.0,1.0,False
48,1,2.600514871333722,1.0,1.0,False
49,2,7.186691115918205,1.0,1.0,False
50,1,3.0616498688240092,1.0,1.0,False
51,1,3.455080936243099,1.0,1.0,False
52,1,3.2587705315249895,1.0,1.0,False
53,1,2.5963847924140944,1.0,1.0,False
54,1,2.733750360560166,1.0,1.0,False
55,1,3.093811537760626,1.0,1.0,False
56,1,6.793643736364081,1.0,1.0,False
57,1,4.34055100555733,1.0,1.0,False
58,1,3.0640566093636834,1.0,1.0,False
59,1,4.3841649403485,1.0,1.0,False
60,1,3.256467385949501,1.0,1.0,False
61,1,2.74124510849902,1.0,1.0,False
62,1,3.5818077441719747,1.0,1.0,False
63,1,3.564980787665501,1.0,1.0,False
64,1,3.9097719684253067,1.0,1.0,False
65,1,3.4909084096247653,1.0,1.0,False
66,1,3.4908118851890113,1.0,1.0,False
67,1,2.7711822317888015,1.0,1.0,False
