group,sample,condition,expected_stage3a_missing_types_audit_only,stage3b_target,stage3a_filter_mode,filter_scope,cell_type_column,noise_type,noise_fraction,noise_seed,sc_input_path,st_input_path,coordinates_path,truth_path,output_path
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,control,,Endothelial cells,none,unsupported_all,sc_meta,sc_reference_entry_permutation,0.05,42,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\st_coordinates.csv,V:\data\sim\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\sim_truth_spot_type_fraction.csv,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage4_cytospace_scnoise05_stage3ab_full
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05,single_missing,Epithelial cells,Endothelial cells,plugin_unknown,unsupported_all,plugin_type,sc_reference_entry_permutation,0.05,42,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\st_coordinates.csv,V:\data\sim\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\sim_truth_spot_type_fraction.csv,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage4_cytospace_scnoise05_stage3ab_full
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,double_missing,Epithelial cells;PCs,Endothelial cells,plugin_unknown,unsupported_all,plugin_type,sc_reference_entry_permutation,0.05,42,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage1_preprocess\exported\st_coordinates.csv,V:\data\sim\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\sim_truth_spot_type_fraction.csv,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_cytospace_scnoise05_stage3ab_full
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,control,,B_cell,none,unsupported_all,sc_meta,sc_reference_entry_permutation,0.05,42,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage1_preprocess\exported\st_coordinates.csv,V:\data\sim\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\sim_truth_spot_type_fraction.csv,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_cytospace_scnoise05_stage3ab_full
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05,single_missing,AT2,B_cell,plugin_unknown,unsupported_all,plugin_type,sc_reference_entry_permutation,0.05,42,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage1_preprocess\exported\st_coordinates.csv,V:\data\sim\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\sim_truth_spot_type_fraction.csv,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage4_cytospace_scnoise05_stage3ab_full
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05,double_missing,AT2;Fibroblast,B_cell,plugin_unknown,unsupported_all,plugin_type,sc_reference_entry_permutation,0.05,42,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage1_preprocess\exported\st_coordinates.csv,V:\data\sim\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\sim_truth_spot_type_fraction.csv,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage4_cytospace_scnoise05_stage3ab_full
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05,control,,Ext_L56,none,unsupported_all,sc_meta,sc_reference_entry_permutation,0.05,42,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage1_preprocess\exported\st_coordinates.csv,V:\data\sim\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\sim_truth_spot_type_fraction.csv,V:\result\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage4_cytospace_scnoise05_stage3ab_full
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,single_missing,Micro,Ext_L56,plugin_unknown,unsupported_all,plugin_type,sc_reference_entry_permutation,0.05,42,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage1_preprocess\exported\st_coordinates.csv,V:\data\sim\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\sim_truth_spot_type_fraction.csv,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_cytospace_scnoise05_stage3ab_full
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,double_missing,Micro;Oligo_2,Ext_L56,plugin_unknown,unsupported_all,plugin_type,sc_reference_entry_permutation,0.05,42,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage1_preprocess\exported\sc_expression_normalized.csv,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage1_preprocess\exported\st_expression_normalized.csv,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage1_preprocess\exported\st_coordinates.csv,V:\data\sim\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\sim_truth_spot_type_fraction.csv,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_cytospace_scnoise05_stage3ab_full
