group,sample,method,method_key,output_path,output_sha256,input_sc_sha256,input_st_sha256,coordinates_sha256,truth_sha256,output_exists,spot_universe_matches_stage1_st,output_spots,stage1_st_spots,truth_spots,stage1_st_is_truth_subset,output_postdates_noisy_input,deterministic_noise_recreation_verified,provenance_verified,rerun_required,evidence
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05,CellTrek,celltrek,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage4_mapping\celltrek\spot_type_fraction.csv,1b61507c1bfc1fc0d6781ecf3fb189c9c5a3d616c518d0922e28a5f744198b09,1400acebce35f5663e171d2eba34565c6810eba90b05d427b505bbf6fe5904e1,1668ff2ea8a2ac1d6c196c4fedf21a039cc4f15a8aa135898a855bd0f0bc4a40,ab86c0d32e1a46a5b45a99d9f492c33748f28c0c9a9393e3a5a9c33007b63ad3,eb931c5c1e35c5db3c6ddd3720562b69f47f80623dd1396c3ea16dfa631e224c,True,True,2518,2518,2518,True,True,True,True,False,exact noisy-sample output path; runner consumes that sample's Stage1 normalized matrices; output spot IDs match the QC-filtered Stage1 ST input; output postdates noisy input
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,CytoSPACE,cytospace_baseline,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,77c8786b97c96741e9b4d896b37005a184fb040d36c083643314d70cd18d415f,1400acebce35f5663e171d2eba34565c6810eba90b05d427b505bbf6fe5904e1,f91362b7a79bbdd5761931fdbc3d75253a08266e441d06d1fc836d5229853ae3,19a76091948ae9d53d86c9d53d15d7def410998c2ff9c751d4ffc683b7673bd1,d5f4bf5c6e1fadfb00fc3c99f31f5aec0b599d2bb2eb2022f3471f31225e933e,True,True,2518,2518,2518,True,True,True,True,False,exact noisy-sample output path; runner consumes that sample's Stage1 normalized matrices; output spot IDs match the QC-filtered Stage1 ST input; output postdates noisy input
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,Tangram (all genes),tangram_all,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_mapping\tangram_all\spot_type_fraction.csv,2d189f83eb72849b74168049e6230c32aba6a5f5fef671fde7742df3c4f10853,1400acebce35f5663e171d2eba34565c6810eba90b05d427b505bbf6fe5904e1,f91362b7a79bbdd5761931fdbc3d75253a08266e441d06d1fc836d5229853ae3,19a76091948ae9d53d86c9d53d15d7def410998c2ff9c751d4ffc683b7673bd1,d5f4bf5c6e1fadfb00fc3c99f31f5aec0b599d2bb2eb2022f3471f31225e933e,True,True,2518,2518,2518,True,True,True,True,False,exact noisy-sample output path; runner consumes that sample's Stage1 normalized matrices; output spot IDs match the QC-filtered Stage1 ST input; output postdates noisy input
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,Tangram (marker genes),tangram_marker,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_mapping\tangram_marker\spot_type_fraction.csv,6ce495cbd87fec73a78ed7e22ceb754d50d099fa01979fbf4e150c093d0e82a6,1400acebce35f5663e171d2eba34565c6810eba90b05d427b505bbf6fe5904e1,f91362b7a79bbdd5761931fdbc3d75253a08266e441d06d1fc836d5229853ae3,19a76091948ae9d53d86c9d53d15d7def410998c2ff9c751d4ffc683b7673bd1,d5f4bf5c6e1fadfb00fc3c99f31f5aec0b599d2bb2eb2022f3471f31225e933e,True,True,2518,2518,2518,True,True,True,True,False,exact noisy-sample output path; runner consumes that sample's Stage1 normalized matrices; output spot IDs match the QC-filtered Stage1 ST input; output postdates noisy input
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,novoSpaRc,novosparc,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_mapping\novosparc\spot_type_fraction.csv,3d2a613495cf1aaa792d143b2ab98fc5ad59c90c7260e4619b2f09919e144dd3,1400acebce35f5663e171d2eba34565c6810eba90b05d427b505bbf6fe5904e1,f91362b7a79bbdd5761931fdbc3d75253a08266e441d06d1fc836d5229853ae3,19a76091948ae9d53d86c9d53d15d7def410998c2ff9c751d4ffc683b7673bd1,d5f4bf5c6e1fadfb00fc3c99f31f5aec0b599d2bb2eb2022f3471f31225e933e,True,True,2518,2518,2518,True,True,True,True,False,exact noisy-sample output path; runner consumes that sample's Stage1 normalized matrices; output spot IDs match the QC-filtered Stage1 ST input; output postdates noisy input
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,SpaOTsc,spaotsc,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_mapping\spaotsc\spot_type_fraction.csv,521afc2a874ab659233be493ed6668a6ff2876e262668e4cd10c29678c6e9b0e,1400acebce35f5663e171d2eba34565c6810eba90b05d427b505bbf6fe5904e1,f91362b7a79bbdd5761931fdbc3d75253a08266e441d06d1fc836d5229853ae3,19a76091948ae9d53d86c9d53d15d7def410998c2ff9c751d4ffc683b7673bd1,d5f4bf5c6e1fadfb00fc3c99f31f5aec0b599d2bb2eb2022f3471f31225e933e,True,True,2518,2518,2518,True,True,True,True,False,exact noisy-sample output path; runner consumes that sample's Stage1 normalized matrices; output spot IDs match the QC-filtered Stage1 ST input; output postdates noisy input
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,CellTrek,celltrek,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_mapping\celltrek\spot_type_fraction.csv,1466c656041c583dec42ca359e08af6a0d5bc89699fafbdbc9d2cafb2d388192,1400acebce35f5663e171d2eba34565c6810eba90b05d427b505bbf6fe5904e1,f91362b7a79bbdd5761931fdbc3d75253a08266e441d06d1fc836d5229853ae3,19a76091948ae9d53d86c9d53d15d7def410998c2ff9c751d4ffc683b7673bd1,d5f4bf5c6e1fadfb00fc3c99f31f5aec0b599d2bb2eb2022f3471f31225e933e,True,True,2518,2518,2518,True,True,True,True,False,exact noisy-sample output path; runner consumes that sample's Stage1 normalized matrices; output spot IDs match the QC-filtered Stage1 ST input; output postdates noisy input
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,CytoSPACE,cytospace_baseline,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,2b4e753c9d6ef92de90ec6f1b9285e748223f70f68bc07130f3b0288397ffa3a,cb154a7059cb495fcee467c293e29ba8a050ff63b862f248fa6a1d467d47b898,184064fdf86cc939c287fda319d375758930b620a5d319dc182a82bba4fa354a,8c19e936dfd5e830747ebad60885feafd66a380f49827d82c6e55969e54dcc98,fd3bec4eea411a6adbe79e368b84f716226806e8bf75cd7e2d07047a1ff4daf8,True,True,3274,3274,3316,True,True,True,True,False,exact noisy-sample output path; runner consumes that sample's Stage1 normalized matrices; output spot IDs match the QC-filtered Stage1 ST input; output postdates noisy input
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,Tangram (all genes),tangram_all,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_mapping\tangram_all\spot_type_fraction.csv,5aad74ea669589af2f1eb1d1f1319e3ab5f5cb049945636493d10e0c1854bf3e,cb154a7059cb495fcee467c293e29ba8a050ff63b862f248fa6a1d467d47b898,184064fdf86cc939c287fda319d375758930b620a5d319dc182a82bba4fa354a,8c19e936dfd5e830747ebad60885feafd66a380f49827d82c6e55969e54dcc98,fd3bec4eea411a6adbe79e368b84f716226806e8bf75cd7e2d07047a1ff4daf8,True,True,3274,3274,3316,True,True,True,True,False,exact noisy-sample output path; runner consumes that sample's Stage1 normalized matrices; output spot IDs match the QC-filtered Stage1 ST input; output postdates noisy input
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,Tangram (marker genes),tangram_marker,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_mapping\tangram_marker\spot_type_fraction.csv,6a2f4eaedcfd1e669f36b55473e6d8123ae6bab5e56ae4e7d6684e8c6021e607,cb154a7059cb495fcee467c293e29ba8a050ff63b862f248fa6a1d467d47b898,184064fdf86cc939c287fda319d375758930b620a5d319dc182a82bba4fa354a,8c19e936dfd5e830747ebad60885feafd66a380f49827d82c6e55969e54dcc98,fd3bec4eea411a6adbe79e368b84f716226806e8bf75cd7e2d07047a1ff4daf8,True,True,3274,3274,3316,True,True,True,True,False,exact noisy-sample output path; runner consumes that sample's Stage1 normalized matrices; output spot IDs match the QC-filtered Stage1 ST input; output postdates noisy input
