group,sample,condition,stage3_summary_path,detected_unsupported_types,n_cells_marked_unknown,expected_types_audit_only,detection_status,n_cells_before,n_cells_after,stage4_filter_mode,stage4_filter_scope,stage4_cell_type_column,n_filtered,truth_filter_enabled,oracle_only_filtered_missing,forced_stage3_outputs_written,stage3_relabel_path,stage3_relabel_sha256,stage4_summary_path,stage4_summary_sha256,execution_log
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,control,V:\result\simulation_experiments\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage3_typematch_scnoise05_stage3ab_full\stage3_summary.json,,0,,not_applicable_control,2812,2812,none,unsupported_all,sc_meta,0,False,0,not_available,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage3_typematch_scnoise05_stage3ab_full\cell_type_relabel.csv,5fefd921c2a3d5659e8d52e046c6c2ca6ab1f0ac2c72e8fdace95d94d51cfc5a,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\stage4_summary.json,a37333a46c04ce4d04e02a3c34cca470aada345eb0961eebd48fc6318b05c60b,V:\visualizations\method_comparison\composite_scnoise05_stage3ab_full\execution_logs\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05_stage3a.log
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05,single_missing,V:\result\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage3_typematch_scnoise05_stage3ab_full\stage3_summary.json,Epithelial cells,500,Epithelial cells,detected,2812,2312,plugin_unknown,unsupported_all,plugin_type,500,False,500,not_available,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage3_typematch_scnoise05_stage3ab_full\cell_type_relabel.csv,b8444a862431477725ba30f60a8ff8254c96412a275a721a9754f2a3afab1ef5,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\stage4_summary.json,358dd39353dc82dac202cf2abb6d085241a20a5ae49dc7df20fe344094dd954b,V:\visualizations\method_comparison\composite_scnoise05_stage3ab_full\execution_logs\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05_stage3a.log
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,double_missing,V:\result\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage3_typematch_scnoise05_stage3ab_full\stage3_summary.json,Epithelial cells;PCs,991,Epithelial cells;PCs,detected,2812,1821,plugin_unknown,unsupported_all,plugin_type,991,False,500,not_available,V:\data\processed\simulation_experiments\real_brca\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage3_typematch_scnoise05_stage3ab_full\cell_type_relabel.csv,1e851bb8620188ecf5dda99c7400de6c8d9bbb5ddf869512bb94a387244ebf3b,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\stage4_summary.json,d1c76d7555628257fb1f02bead4013e786f35626839d7bdc58019c03621f21dc,V:\visualizations\method_comparison\composite_scnoise05_stage3ab_full\execution_logs\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05_stage3a.log
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,control,V:\result\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage3_typematch_scnoise05_stage3ab_full\stage3_summary.json,,0,,not_applicable_control,13186,13186,none,unsupported_all,sc_meta,0,False,0,not_available,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage3_typematch_scnoise05_stage3ab_full\cell_type_relabel.csv,893251e86c8c928f49c5775e53d965df526ed8d8efc88cb0571f1f112666da6d,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\stage4_summary.json,3242d0f3e9dc655342f0c587e3c1f30d99c870a5a2057440ec41ee87108c32b3,V:\visualizations\method_comparison\composite_scnoise05_stage3ab_full\execution_logs\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05_stage3a.log
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05,single_missing,V:\result\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage3_typematch_scnoise05_stage3ab_full\stage3_summary.json,,0,AT2,detection_failure,13186,13186,plugin_unknown,unsupported_all,plugin_type,0,False,2779,not_available,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage3_typematch_scnoise05_stage3ab_full\cell_type_relabel.csv,7eacc1b6c0704b1cccfdfe6bd380c8f33e5e188937e53fff35a61c9159dd070b,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\stage4_summary.json,4b99658106af51fa802ab87d9f75f8093ce0cdca22860e6d5771bf1135b8e3ff,V:\visualizations\method_comparison\composite_scnoise05_stage3ab_full\execution_logs\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05_stage3a.log
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05,double_missing,V:\result\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage3_typematch_scnoise05_stage3ab_full\stage3_summary.json,AT2,2779,AT2;Fibroblast,partial_detection,13186,10407,plugin_unknown,unsupported_all,plugin_type,2779,False,3091,not_available,V:\data\processed\simulation_experiments\human_lung_5loc\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage3_typematch_scnoise05_stage3ab_full\cell_type_relabel.csv,67f4124ef03da0c9a4bbd0924097683eb11ce1ea418f1c460e7c9161d6e94134,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\stage4_summary.json,35be06467d5f58029ffc7e1f75b4f20578a07bcde8747f7bb320e540c5ecfffe,V:\visualizations\method_comparison\composite_scnoise05_stage3ab_full\execution_logs\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05_stage3a.log
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05,control,V:\result\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage3_typematch_scnoise05_stage3ab_full\stage3_summary.json,,0,,not_applicable_control,5112,5112,none,unsupported_all,sc_meta,0,False,0,not_available,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage3_typematch_scnoise05_stage3ab_full\cell_type_relabel.csv,a302d8682f3b86e3771b33ba1e37f3d5bc224e59d23ca171bbee50a30c017b49,V:\result\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\stage4_summary.json,0ff117688a27f15728cb5319292acb59a428f694cdcec91eb81894e58fb325dc,V:\visualizations\method_comparison\composite_scnoise05_stage3ab_full\execution_logs\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05_stage3a.log
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,single_missing,V:\result\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage3_typematch_scnoise05_stage3ab_full\stage3_summary.json,Micro,1000,Micro,detected,5112,4112,plugin_unknown,unsupported_all,plugin_type,1000,False,0,not_available,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage3_typematch_scnoise05_stage3ab_full\cell_type_relabel.csv,858f37839f000a5fd7ad70a8fb2a2579e37a3d2b0ef05612e58bee898476d15a,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\stage4_summary.json,13fe105d2e888a9fc575d2b353d92c2ac1b1510cd4b69fc9b6b89fc9f8ffc4e1,V:\visualizations\method_comparison\composite_scnoise05_stage3ab_full\execution_logs\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05_stage3a.log
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,double_missing,V:\result\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage3_typematch_scnoise05_stage3ab_full\stage3_summary.json,Micro;Oligo_2,2000,Micro;Oligo_2,detected,5112,3112,plugin_unknown,unsupported_all,plugin_type,2000,False,0,not_available,V:\data\processed\simulation_experiments\mouse_brain_refined\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage3_typematch_scnoise05_stage3ab_full\cell_type_relabel.csv,75080a2d3d609b188714f76967234903d9da470051e1846416458400ac1d96c6,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\stage4_summary.json,6a1a0b6770ced7ceb348c6be0a4f33011cf3ac800ef8dff7d8ddb4e4e01a1cca,V:\visualizations\method_comparison\composite_scnoise05_stage3ab_full\execution_logs\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05_stage3a.log
