method,count,mean,median,std
CytoSPACE,9,0.5055572102350333,0.519654396530947,0.10345486640190367
SVTuner,9,0.659712496501757,0.681771372842978,0.15911199836073395
"Tangram
(all genes)",9,0.4488062431818207,0.4574723881297654,0.11592576205733816
"Tangram
(marker genes)",9,0.46626110222307127,0.4556034954791857,0.12459432399117384
novoSpaRc,9,0.4897792806511501,0.4728173220124611,0.1024913197136068
SpaOTsc,9,0.3855846412809939,0.3892702925856336,0.12151982225961006
CellTrek,9,0.459861058599363,0.48622788048040494,0.10960256522238301
