group,sample,method,composition_recovery,all_spots,predicted_blank_spots,correct_abstention_spots,incorrect_abstention_spots,truth_unsupported_spots,raw_composition_overlap,abstention_credit,abstention_truth_rule,method_key,prediction_path,reused_mapping,provenance_verified
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,"Tangram
(all genes)",0.29152103802876755,2518,0,0,0,0,0.29152103802876755,0.0,not_applicable,tangram_all,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_mapping\tangram_all\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,"Tangram
(marker genes)",0.2991128570498605,2518,0,0,0,0,0.2991128570498605,0.0,not_applicable,tangram_marker,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_mapping\tangram_marker\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,novoSpaRc,0.33716233510161975,2518,0,0,0,0,0.33716233510161975,0.0,not_applicable,novosparc,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_mapping\novosparc\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,SpaOTsc,0.24862572415274725,2518,0,0,0,0,0.24862572415274725,0.0,not_applicable,spaotsc,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_mapping\spaotsc\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,CellTrek,0.3867463193880091,2518,0,0,0,0,0.3867463193880091,0.0,not_applicable,celltrek,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05\stage4_mapping\celltrek\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,CytoSPACE,0.5884191329827873,3316,0,0,0,0,0.5884191329827873,0.0,not_applicable,cytospace_baseline,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,SVTuner,0.5877721703382975,3316,194,128,66,385,0.5491714465747269,0.038600723763570564,target_dominant,cytospace_route2,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\fractional_abundances_by_spot.csv,False,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,"Tangram
(all genes)",0.6304828328617125,3316,0,0,0,0,0.6304828328617125,0.0,not_applicable,tangram_all,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_mapping\tangram_all\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,"Tangram
(marker genes)",0.6350946300725021,3316,0,0,0,0,0.6350946300725021,0.0,not_applicable,tangram_marker,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_mapping\tangram_marker\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,novoSpaRc,0.6150720384313547,3316,0,0,0,0,0.6150720384313547,0.0,not_applicable,novosparc,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_mapping\novosparc\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,SpaOTsc,0.40816106493431037,3316,0,0,0,0,0.40816106493431037,0.0,not_applicable,spaotsc,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_mapping\spaotsc\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,CellTrek,0.6018295865346294,3316,0,0,0,0,0.6018295865346294,0.0,not_applicable,celltrek,V:\result\human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05\stage4_mapping\celltrek\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05,CytoSPACE,0.48421526741287924,3316,0,0,0,0,0.48421526741287924,0.0,not_applicable,cytospace_baseline,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05,SVTuner,0.4825349242304623,3316,28,22,6,397,0.47590042483359857,0.0066344993968636915,target_dominant,cytospace_route2,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\fractional_abundances_by_spot.csv,False,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05,"Tangram
(all genes)",0.4574723881297654,3316,0,0,0,0,0.4574723881297654,0.0,not_applicable,tangram_all,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage4_mapping\tangram_all\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05,"Tangram
(marker genes)",0.4556034954791857,3316,0,0,0,0,0.4556034954791857,0.0,not_applicable,tangram_marker,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage4_mapping\tangram_marker\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05,novoSpaRc,0.4728173220124611,3316,0,0,0,0,0.4728173220124611,0.0,not_applicable,novosparc,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage4_mapping\novosparc\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05,SpaOTsc,0.31575296839736955,3316,0,0,0,0,0.31575296839736955,0.0,not_applicable,spaotsc,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage4_mapping\spaotsc\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05,CellTrek,0.5624059092587181,3316,0,0,0,0,0.5624059092587181,0.0,not_applicable,celltrek,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05\stage4_mapping\celltrek\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05,CytoSPACE,0.3650825750430614,3316,0,0,0,0,0.3650825750430614,0.0,not_applicable,cytospace_baseline,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05,SVTuner,0.4076483424618081,3316,8,5,3,397,0.40614050168979365,0.0015078407720144752,target_dominant,cytospace_route2,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\fractional_abundances_by_spot.csv,False,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05,"Tangram
(all genes)",0.3277035619322498,3316,0,0,0,0,0.3277035619322498,0.0,not_applicable,tangram_all,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage4_mapping\tangram_all\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05,"Tangram
(marker genes)",0.32540427553248263,3316,0,0,0,0,0.32540427553248263,0.0,not_applicable,tangram_marker,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage4_mapping\tangram_marker\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05,novoSpaRc,0.35943458990989297,3316,0,0,0,0,0.35943458990989297,0.0,not_applicable,novosparc,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage4_mapping\novosparc\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05,SpaOTsc,0.24509371260273569,3316,0,0,0,0,0.24509371260273569,0.0,not_applicable,spaotsc,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage4_mapping\spaotsc\spot_type_fraction.csv,True,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05,CellTrek,0.4698723365797733,3316,0,0,0,0,0.4698723365797733,0.0,not_applicable,celltrek,V:\result\human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05\stage4_mapping\celltrek\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05,CytoSPACE,0.5796899101175786,8470,0,0,0,0,0.5796899101175786,0.0,not_applicable,cytospace_baseline,V:\result\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05,SVTuner,0.8260857339571895,8470,2933,2843,90,2853,0.49043048012011753,0.335655253837072,target_dominant,cytospace_route2,V:\result\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\fractional_abundances_by_spot.csv,False,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05,"Tangram
(all genes)",0.5545321268241914,8470,0,0,0,0,0.5545321268241914,0.0,not_applicable,tangram_all,V:\result\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage4_mapping\tangram_all\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05,"Tangram
(marker genes)",0.5977494484217938,8470,0,0,0,0,0.5977494484217938,0.0,not_applicable,tangram_marker,V:\result\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage4_mapping\tangram_marker\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05,novoSpaRc,0.580858706884775,8470,0,0,0,0,0.580858706884775,0.0,not_applicable,novosparc,V:\result\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage4_mapping\novosparc\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05,SpaOTsc,0.5814700785703928,8470,0,0,0,0,0.5814700785703928,0.0,not_applicable,spaotsc,V:\result\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage4_mapping\spaotsc\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05,CellTrek,0.48622788048040494,8470,0,0,0,0,0.48622788048040494,0.0,not_applicable,celltrek,V:\result\mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05\stage4_mapping\celltrek\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,CytoSPACE,0.5723312241888826,8470,0,0,0,0,0.5723312241888826,0.0,not_applicable,cytospace_baseline,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,SVTuner,0.8557477007128287,8470,2918,2843,75,2853,0.5200924468757566,0.335655253837072,target_dominant,cytospace_route2,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\fractional_abundances_by_spot.csv,False,True
