group,sample,predicted_blank_spots,correct_abstention_spots,incorrect_abstention_spots,truth_unsupported_spots,blank_precision,blank_recall
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,382,382,0,384,1.0,0.9947916666666666
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05,382,382,0,384,1.0,0.9947916666666666
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise05,382,382,0,384,1.0,0.9947916666666666
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05,194,128,66,385,0.6597938144329897,0.33246753246753247
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05,28,22,6,397,0.7857142857142857,0.055415617128463476
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05,8,5,3,397,0.625,0.012594458438287154
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise05,2933,2843,90,2853,0.9693146948516876,0.9964949176305643
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,2918,2843,75,2853,0.9742974640164497,0.9964949176305643
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,3043,2851,192,2853,0.9369043706868222,0.9992989835261129
