group,sample,method,composition_recovery,all_spots,predicted_blank_spots,correct_abstention_spots,incorrect_abstention_spots,truth_unsupported_spots,raw_composition_overlap,abstention_credit,abstention_truth_rule,method_key,prediction_path,reused_mapping,provenance_verified
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,CytoSPACE,0.6500755867139653,2518,0,0,0,0,0.6500755867139653,0.0,not_applicable,cytospace_baseline,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,True,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,SVTuner,0.7687226454301151,2518,382,382,0,384,0.6170149409027125,0.1517077045274027,target_dominant,cytospace_route2,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10\stage4_cytospace_scnoise10_stage3ab_full\cytospace_output\fractional_abundances_by_spot.csv,False,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,"Tangram
(all genes)",0.5536725016642441,2518,0,0,0,0,0.5536725016642441,0.0,not_applicable,tangram_all,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10\stage4_mapping\tangram_all\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,"Tangram
(marker genes)",0.6047199732947864,2518,0,0,0,0,0.6047199732947864,0.0,not_applicable,tangram_marker,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10\stage4_mapping\tangram_marker\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,novoSpaRc,0.5731742899446581,2518,0,0,0,0,0.5731742899446581,0.0,not_applicable,novosparc,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10\stage4_mapping\novosparc\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,SpaOTsc,0.3851671880868035,2518,0,0,0,0,0.3851671880868035,0.0,not_applicable,spaotsc,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10\stage4_mapping\spaotsc\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,CellTrek,0.49623437405251997,2518,0,0,0,0,0.49623437405251997,0.0,not_applicable,celltrek,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10\stage4_mapping\celltrek\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise10,CytoSPACE,0.5171331687961171,2518,0,0,0,0,0.5171331687961171,0.0,not_applicable,cytospace_baseline,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise10\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,True,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise10,SVTuner,0.67877292556333,2518,382,382,0,384,0.5270652210359272,0.1517077045274027,target_dominant,cytospace_route2,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise10\stage4_cytospace_scnoise10_stage3ab_full\cytospace_output\fractional_abundances_by_spot.csv,False,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise10,"Tangram
(all genes)",0.42083539747900556,2518,0,0,0,0,0.42083539747900556,0.0,not_applicable,tangram_all,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise10\stage4_mapping\tangram_all\spot_type_fraction.csv,True,True
