cell_type,truth_mass,recovered_mass,composition_recovery,group,sample,method
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,CytoSPACE
Epithelial cells,484.871224894439,443.67168205658174,0.9150299281075572,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,CytoSPACE
NK cells,225.3342505743991,207.97921848492595,0.9229809403353753,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,CytoSPACE
PCs,644.7740191715238,393.7731735098059,0.6107150130145887,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,CytoSPACE
PVL,239.4365290816532,211.89966432021217,0.884993050696745,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,CytoSPACE
T cells CD4,263.4115791719182,181.82795649759484,0.6902808034073665,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,CytoSPACE
T cells CD8,276.17239710606657,197.73863247664383,0.7159970893133845,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,CytoSPACE
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,SVTuner
Epithelial cells,484.871224894439,379.31831741626365,0.7823073384048409,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,SVTuner
NK cells,225.3342505743991,207.7366652515764,0.9219045250423993,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,SVTuner
PCs,644.7740191715238,360.28907311424103,0.5587834844480549,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,SVTuner
PVL,239.4365290816532,224.09167791341156,0.9359126561552824,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,SVTuner
T cells CD4,263.4115791719182,189.78332955634818,0.7204821069482453,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,SVTuner
T cells CD8,276.1723971060666,192.42455794118922,0.6967552150669378,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,SVTuner
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,"Tangram
(all genes)"
Epithelial cells,484.871224894439,341.3396581715946,0.7039800273689316,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,"Tangram
(all genes)"
