group,sample,stage3a_expected,stage3a_detected,stage3a_extra,stage3a_missed,stage3a_conflicts,stage3a_ok,stage3b_target,stage3b_blank_spots,stage3b_target_positive_spots,stage3b_target_dominant_spots,stage3b_dominant_recall,stage3b_dominant_precision,stage3b_positive_recall,stage3b_mass_recall,stage3b_zero_target_fp_spots,stage3b_zero_target_fp_rate,stage3b_residual_region_spots_before_gate,stage3b_residual_region_spots_after_gate,stage3b_ok
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,(none),(none),,,,True,B_cell,415,478,382,1.0,0.9204819277108434,0.8598326359832636,0.9981822788685436,4,0.001423994304022784,415,415,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,AT2,AT2,,,,True,B_cell,390,478,394,0.9796954314720813,0.9897435897435898,0.8158995815899581,0.9799525239537118,0,0.0,622,0,True
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell,AT2;Fibroblast,AT2;Fibroblast,,,,True,B_cell,411,477,394,0.9974619289340102,0.9562043795620438,0.859538784067086,0.998181109225217,1,0.00035612535612535614,410,410,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56,(none),(none),,,,True,Ext_L56,2928,5092,2853,0.9964949176305643,0.9709699453551912,0.5742340926944226,0.9838772832349651,4,0.0011844832691738228,2912,2912,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56,Micro,Micro,,,,True,Ext_L56,2903,5092,2853,0.9957939011566772,0.9786427833275921,0.5691280439905735,0.9804299846058407,5,0.0014806040864672786,2889,2889,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56,Micro;Oligo_2,Micro;Oligo_2,,,,True,Ext_L56,3011,5092,2853,0.9989484752891693,0.9465293922284955,0.5907305577376276,0.9924094728684331,3,0.0008883624518803672,3005,3005,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,(none),(none),,,,True,Endothelial cells,382,384,384,0.9947916666666666,1.0,0.9947916666666666,0.9947916666666666,0,0.0,382,382,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,Epithelial cells,Epithelial cells,,,,True,Endothelial cells,382,384,384,0.9947916666666666,1.0,0.9947916666666666,0.9947916666666666,0,0.0,776,0,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,Epithelial cells;PCs,Epithelial cells;PCs,,,,True,Endothelial cells,382,384,384,0.9947916666666666,1.0,0.9947916666666666,0.9947916666666666,0,0.0,752,0,True
