rank,gene,stat,hit,running_es
1,SPP1,0.44722056723368153,True,0.0748774377253192
2,CXCR4,0.3581994438540767,False,0.07282404963497012
3,SERPINA1,0.34970962989301585,False,0.07077066154462104
4,MMP11,0.303389154173383,False,0.06871727345427196
5,IFNGR2,0.29498359333274615,False,0.06666388536392288
6,PKM,0.2824497033693707,False,0.0646104972735738
7,LGALS9,0.2765533611460115,False,0.06255710918322473
8,HLA-DRB1,0.26097830921086573,True,0.10625229792749583
9,CSF1R,0.25764716078349026,False,0.10419890983714675
10,SOX9,0.25740729455163397,False,0.10214552174679767
11,BCL2L1,0.24376617671298217,False,0.10009213365644859
12,MYBL2,0.23362328801688165,False,0.09803874556609951
13,BST2,0.22296703538356497,True,0.13536976638654483
14,WNT5A,0.2205468301781644,False,0.13331637829619575
15,PTPRC,0.22054683017816434,False,0.13126299020584667
16,IDH1,0.2176132610355475,True,0.1676976369891614
17,ENG,0.2176132610355475,True,0.2041322837724761
18,PIK3CG,0.21282414668746452,False,0.20207889568212703
19,AXIN2,0.20453680319683026,False,0.20002550759177795
20,VEGFB,0.2021165979914297,True,0.23386557240133948
21,TREM2,0.19974768884874722,True,0.26730901447079464
22,BAX,0.19918302884881284,False,0.2652556263804456
23,AKT1,0.19918302884881267,False,0.26320223829009654
24,PDGFC,0.1943939145007298,False,0.2611488501997475
25,TGFBI,0.18481568580456365,True,0.292092250433088
26,CDK4,0.1813174566620125,False,0.29003886234273896
27,IL4I1,0.17991874490443271,True,0.3201623754461959
28,CTNNB1,0.1796019872082465,False,0.31810898735584686
29,CHEK1,0.17596368231399503,False,0.3160555992654978
30,CD4,0.175963682313995,False,0.31400221117514876
31,TGFB1,0.1676763388233607,False,0.3119488230847997
32,HLA-B,0.16510495921025192,True,0.33959208729752827
33,LRP1,0.15893216188484005,True,0.36620184974135667
34,HDAC1,0.1575334501272603,False,0.3641484616510076
35,MRC1,0.1568176157196176,True,0.3904041889488607
36,MKI67,0.14809529718279463,False,0.38835080085851165
37,HLA-DQA1,0.14687719749394346,True,0.4129422195328581
