CCL4L2	CCL4L2
CCL5	CCL5
CCND2	CCND2
CCND3	CCND3
CCNDBP1	CCNDBP1
CCNG1	CCNG1
CCNH	CCNH
CCNI	CCNI
CCNL1	CCNL1
CCPG1	CCPG1
CCR7	CCR7
CCT2	CCT2
CCT3	CCT3
CCT4	CCT4
CCT5	CCT5
CCT7	CCT7
CCT8	CCT8
CD151	CD151
CD164	CD164
CD2	CD2
CD24	CD24
CD247	CD247
CD27	CD27
CD37	CD37
CD3D	CD3D
CD3E	CD3E
CD3G	CD3G
CD40	CD40
CD44	CD44
CD46	CD46
CD47	CD47
CD48	CD48
CD52	CD52
CD53	CD53
CD55	CD55
CD63	CD63
CD68	CD68
CD69	CD69
CD7	CD7
CD74	CD74
CD79A	CD79A
CD81	CD81
CD82	CD82
CD8A	CD8A
CD8B	CD8B
CD9	CD9
CD96	CD96
CD99	CD99
CDC26	CDC26
CDC42SE1	CDC42SE1
CDC42SE2	CDC42SE2
CDK17	CDK17
CDK4	CDK4
CDKN1A	CDKN1A
CDKN1B	CDKN1B
CDKN2AIP	CDKN2AIP
CEBPD	CEBPD
CELF2	CELF2
CENPC	CENPC
CFD	CFD
CFDP1	CFDP1
CFLAR	CFLAR
CGGBP1	CGGBP1
CHCHD1	CHCHD1
CHCHD10	CHCHD10
CHCHD2	CHCHD2
CHCHD7	CHCHD7
CHD1	CHD1
CHD2	CHD2
CHD9	CHD9
CHIC2	CHIC2
CHMP1B	CHMP1B
CHMP2A	CHMP2A
CHMP2B	CHMP2B
CHMP4B	CHMP4B
CHMP5	CHMP5
CHST12	CHST12
CHURC1	CHURC1
CIB1	CIB1
CIRBP	CIRBP
CISD2	CISD2
CISD3	CISD3
CITED2	CITED2
CKLF	CKLF
CLDN4	CLDN4
CLDND1	CLDND1
CLEC11A	CLEC11A
CLEC2B	CLEC2B
CLEC2D	CLEC2D
CLIC1	CLIC1
CLIC3	CLIC3
CLIC4	CLIC4
CLK1	CLK1
CLPP	CLPP
CLTA	CLTA
CLTB	CLTB
CLU	CLU
CMC1	CMC1
CMC2	CMC2
CMPK1	CMPK1
CMTM6	CMTM6
CNBP	CNBP
CNIH1	CNIH1
CNIH4	CNIH4
CNN2	CNN2
CNN3	CNN3
CNOT2	CNOT2
CNOT6L	CNOT6L
CNOT7	CNOT7
CNPY3	CNPY3
COA3	COA3
COA4	COA4
COL12A1	COL12A1
COL15A1	COL15A1
COL18A1	COL18A1
COL1A1	COL1A1
COL1A2	COL1A2
COL3A1	COL3A1
COL4A1	COL4A1
COL4A2	COL4A2
COL5A1	COL5A1
COL5A2	COL5A2
COL6A1	COL6A1
COL6A2	COL6A2
COL6A3	COL6A3
COMMD1	COMMD1
COMMD6	COMMD6
COMMD7	COMMD7
COMT	COMT
COPA	COPA
COPE	COPE
COPS2	COPS2
COPS3	COPS3
COPS6	COPS6
COPZ1	COPZ1
COQ10B	COQ10B
CORO1A	CORO1A
CORO1B	CORO1B
COTL1	COTL1
COX14	COX14
COX16	COX16
COX17	COX17
COX4I1	COX4I1
COX5A	COX5A
COX5B	COX5B
COX6A1	COX6A1
COX6B1	COX6B1
COX6C	COX6C
COX7A2	COX7A2
COX7A2L	COX7A2L
COX7B	COX7B
COX7C	COX7C
COX8A	COX8A
CPE	CPE
CPNE3	CPNE3
CREBRF	CREBRF
CREG1	CREG1
CRELD2	CRELD2
CREM	CREM
CRIP1	CRIP1
CRIP2	CRIP2
CRTAP	CRTAP
CRYAB	CRYAB
CSDE1	CSDE1
CSK	CSK
CSNK1D	CSNK1D
CSRNP1	CSRNP1
CSRP2	CSRP2
CST3	CST3
CST7	CST7
CSTB	CSTB
CTHRC1	CTHRC1
CTNNB1	CTNNB1
CTSA	CTSA
CTSB	CTSB
CTSC	CTSC
CTSD	CTSD
CTSH	CTSH
CTSK	CTSK
CTSL	CTSL
CTSS	CTSS
CTSW	CTSW
CTSZ	CTSZ
CUTA	CUTA
CWC15	CWC15
CXCL12	CXCL12
CXCL13	CXCL13
CXCL14	CXCL14
CXCL16	CXCL16
CXCL2	CXCL2
CXCL3	CXCL3
CXCL8	CXCL8
CXCR4	CXCR4
CYB5A	CYB5A
CYB5B	CYB5B
CYB5R3	CYB5R3
CYBA	CYBA
CYC1	CYC1
CYCS	CYCS
CYLD	CYLD
CYSTM1	CYSTM1
CYTH1	CYTH1
CYTIP	CYTIP
DAD1	DAD1
DAP	DAP
DAP3	DAP3
DARS	DARS
DAZAP2	DAZAP2
DBI	DBI
DCK	DCK
DCN	DCN
DCTN2	DCTN2
DCTN3	DCTN3
DCXR	DCXR
DDAH2	DDAH2
DDIT3	DDIT3
DDIT4	DDIT4
DDOST	DDOST
DDRGK1	DDRGK1
DDT	DDT
DDX17	DDX17
DDX18	DDX18
DDX21	DDX21
DDX24	DDX24
DDX39A	DDX39A
DDX3X	DDX3X
DDX46	DDX46
DDX5	DDX5
DDX6	DDX6
DECR1	DECR1
DEDD2	DEDD2
DEF6	DEF6
DEGS1	DEGS1
DEK	DEK
DERL1	DERL1
DERL3	DERL3
DGCR6L	DGCR6L
DGUOK	DGUOK
DHPS	DHPS
DHRS7	DHRS7
DHX36	DHX36
DNAJA1	DNAJA1
DNAJA2	DNAJA2
DNAJB1	DNAJB1
DNAJB11	DNAJB11
DNAJB14	DNAJB14
DNAJB4	DNAJB4
DNAJB6	DNAJB6
DNAJB9	DNAJB9
DNAJC1	DNAJC1
DNAJC15	DNAJC15
DNAJC19	DNAJC19
DNAJC2	DNAJC2
DNAJC3	DNAJC3
DNAJC4	DNAJC4
DNAJC7	DNAJC7
DNAJC8	DNAJC8
DNPH1	DNPH1
DNTTIP2	DNTTIP2
DOCK8	DOCK8
DOK2	DOK2
DPP7	DPP7
DPY30	DPY30
DR1	DR1
DRAM2	DRAM2
DRAP1	DRAP1
DSTN	DSTN
DUSP1	DUSP1
DUSP2	DUSP2
DUSP23	DUSP23
DUSP4	DUSP4
DUT	DUT
DYNC1H1	DYNC1H1
DYNLL1	DYNLL1
DYNLT1	DYNLT1
DYNLT3	DYNLT3
EBPL	EBPL
ECH1	ECH1
ECHS1	ECHS1
EDF1	EDF1
EEF1B2	EEF1B2
EEF1D	EEF1D
EEF2	EEF2
EFHD2	EFHD2
EFNA1	EFNA1
EGFL7	EGFL7
EGR1	EGR1
EGR2	EGR2
EI24	EI24
EID1	EID1
EIF1	EIF1
EIF1AX	EIF1AX
EIF1B	EIF1B
EIF2A	EIF2A
EIF2AK2	EIF2AK2
EIF2S2	EIF2S2
EIF2S3	EIF2S3
EIF3A	EIF3A
EIF3D	EIF3D
EIF3E	EIF3E
EIF3F	EIF3F
EIF3G	EIF3G
EIF3H	EIF3H
EIF3I	EIF3I
EIF3K	EIF3K
EIF3L	EIF3L
EIF3M	EIF3M
EIF4A1	EIF4A1
EIF4A2	EIF4A2
EIF4A3	EIF4A3
EIF4B	EIF4B
EIF4E	EIF4E
EIF4EBP1	EIF4EBP1
EIF4G2	EIF4G2
EIF4H	EIF4H
EIF5	EIF5
EIF5B	EIF5B
EIF6	EIF6
ELAVL1	ELAVL1
ELF1	ELF1
ELF3	ELF3
ELL2	ELL2
ELOVL5	ELOVL5
EMB	EMB
EMC10	EMC10
EMC3	EMC3
EMC4	EMC4
EMC6	EMC6
EMC7	EMC7
EMD	EMD
EML4	EML4
EMP1	EMP1
EMP2	EMP2
EMP3	EMP3
ENG	ENG
ENO1	ENO1
ENY2	ENY2
EPAS1	EPAS1
EPC1	EPC1
EPN1	EPN1
EPSTI1	EPSTI1
ERBB2	ERBB2
ERGIC2	ERGIC2
ERGIC3	ERGIC3
ERH	ERH
ERLEC1	ERLEC1
ERO1B	ERO1B
ERP29	ERP29
ERP44	ERP44
ERRFI1	ERRFI1
ESAM	ESAM
ESD	ESD
ETFA	ETFA
ETHE1	ETHE1
ETNK1	ETNK1
ETS1	ETS1
ETS2	ETS2
EVL	EVL
EZR	EZR
FAAP20	FAAP20
FABP4	FABP4
FABP5	FABP5
FAM107B	FAM107B
FAM133B	FAM133B
FAM162A	FAM162A
FAM204A	FAM204A
FAM32A	FAM32A
FAM3C	FAM3C
FAM49B	FAM49B
FAM50A	FAM50A
FAM53C	FAM53C
FBLN1	FBLN1
FBLN2	FBLN2
FBXO32	FBXO32
FBXO7	FBXO7
FBXW5	FBXW5
FCER1G	FCER1G
FCGR3A	FCGR3A
FCGRT	FCGRT
FCMR	FCMR
FDFT1	FDFT1
FDPS	FDPS
FDX1	FDX1
FGFR1OP2	FGFR1OP2
FIBP	FIBP
FILIP1L	FILIP1L
FIS1	FIS1
FKBP11	FKBP11
FKBP1A	FKBP1A
FKBP8	FKBP8
FLNA	FLNA
FLOT1	FLOT1
FLYWCH2	FLYWCH2
FN1	FN1
FNBP1	FNBP1
FNBP4	FNBP4
FNDC3B	FNDC3B
FNIP1	FNIP1
FOS	FOS
FOSB	FOSB
FOSL2	FOSL2
FOXP1	FOXP1
FRYL	FRYL
FRZB	FRZB
FSCN1	FSCN1
FSTL1	FSTL1
FTH1	FTH1
FTL	FTL
FUNDC2	FUNDC2
FUS	FUS
FXR1	FXR1
FXYD3	FXYD3
FXYD5	FXYD5
FYN	FYN
G0S2	G0S2
G3BP2	G3BP2
GABARAP	GABARAP
GABARAPL1	GABARAPL1
GABARAPL2	GABARAPL2
GABPB1	GABPB1
GADD45A	GADD45A
GADD45B	GADD45B
GADD45GIP1	GADD45GIP1
GAS6	GAS6
GBP1	GBP1
GBP2	GBP2
GCC2	GCC2
GDI2	GDI2
GEM	GEM
GGNBP2	GGNBP2
GHITM	GHITM
GID8	GID8
GIMAP4	GIMAP4
GIMAP7	GIMAP7
GINM1	GINM1
GJA4	GJA4
GLA	GLA
GLIPR1	GLIPR1
GLIPR2	GLIPR2
GLO1	GLO1
GLRX	GLRX
GLS	GLS
GLUD1	GLUD1
GLUL	GLUL
GMFG	GMFG
GNAI2	GNAI2
GNAI3	GNAI3
GNAS	GNAS
GNG11	GNG11
GNG2	GNG2
GNG5	GNG5
GNL3	GNL3
GNLY	GNLY
GNPTG	GNPTG
GOLGA4	GOLGA4
GOLGA7	GOLGA7
GOLGB1	GOLGB1
GOLPH3	GOLPH3
GPAA1	GPAA1
GPBP1	GPBP1
GPCPD1	GPCPD1
GPI	GPI
GPNMB	GPNMB
GPR183	GPR183
GPR65	GPR65
GPSM3	GPSM3
GPX4	GPX4
GRB2	GRB2
GRINA	GRINA
GRN	GRN
GRPEL1	GRPEL1
GRSF1	GRSF1
GSN	GSN
GSTK1	GSTK1
GSTO1	GSTO1
GSTP1	GSTP1
GTF2A2	GTF2A2
GTF2B	GTF2B
GTF2H5	GTF2H5
GTF2I	GTF2I
GTF3A	GTF3A
GTF3C6	GTF3C6
GUK1	GUK1
GYPC	GYPC
GZMA	GZMA
GZMB	GZMB
GZMH	GZMH
GZMK	GZMK
GZMM	GZMM
H2AFJ	H2AFJ
H2AFV	H2AFV
H2AFX	H2AFX
H2AFY	H2AFY
H3F3A	H3F3A
H3F3B	H3F3B
HADHA	HADHA
HADHB	HADHB
HAX1	HAX1
HBEGF	HBEGF
HBP1	HBP1
HCFC1R1	HCFC1R1
HCLS1	HCLS1
HCST	HCST
HDAC2	HDAC2
HDLBP	HDLBP
HECTD1	HECTD1
HERPUD1	HERPUD1
HERPUD2	HERPUD2
HES4	HES4
HEXB	HEXB
HEXIM1	HEXIM1
HIF1A	HIF1A
HINT1	HINT1
HINT2	HINT2
HIST1H2AC	HIST1H2AC
HIST1H4C	HIST1H4C
HLA-A	HLA-A
HLA-C	HLA-C
HLA-DMA	HLA-DMA
HLA-DMB	HLA-DMB
HLA-DPA1	HLA-DPA1
HLA-DPB1	HLA-DPB1
HLA-DQA1	HLA-DQA1
HLA-DQA2	HLA-DQA2
HLA-DQB1	HLA-DQB1
HLA-DRA	HLA-DRA
HLA-DRB1	HLA-DRB1
HLA-DRB5	HLA-DRB5
HLA-E	HLA-E
HLA-F	HLA-F
HM13	HM13
HMGA1	HMGA1
HMGB1	HMGB1
HMGN3	HMGN3
HMGN4	HMGN4
HMOX2	HMOX2
HNRNPA0	HNRNPA0
HNRNPA2B1	HNRNPA2B1
HNRNPA3	HNRNPA3
HNRNPAB	HNRNPAB
HNRNPC	HNRNPC
HNRNPD	HNRNPD
HNRNPDL	HNRNPDL
HNRNPF	HNRNPF
HNRNPH1	HNRNPH1
HNRNPH3	HNRNPH3
HNRNPK	HNRNPK
HNRNPLL	HNRNPLL
HNRNPR	HNRNPR
HNRNPU	HNRNPU
HNRNPUL1	HNRNPUL1
HOPX	HOPX
HP1BP3	HP1BP3
HSBP1	HSBP1
HSD17B10	HSD17B10
HSD17B11	HSD17B11
HSF1	HSF1
HSP90AA1	HSP90AA1
