gene,hvg_score,svg_score,hvg_norm,svg_norm,final_weight,is_sc_hvg,selected_in_plugin
VDAC3,0.24708283995629543,0.04276029941067469,0.897236302196476,0.7010016895969104,0.7991189958966932,False,0
SLC20A2,0.05744746048445996,0.09095182915185816,0.5858677286990104,0.8583152305092928,0.7220914796041515,False,0
SMIM19,0.1860971457719135,0.05280771121446848,0.8490224475018103,0.7500603427468019,0.7995413951243061,False,0
CHRNA6,0.004568787005018351,0.0,0.26074100893072655,0.2035662563359884,0.23215363263335748,False,0
THAP1,0.10054337130769189,0.0014555723093919728,0.718320057929037,0.36090996862177166,0.5396150132754043,False,0
RNF170,0.05132781228634779,0.0027847175665922336,0.5610668597634564,0.3706854936036688,0.4658761766835626,False,0
HOOK3,0.1784476141770793,0.03460758261124761,0.84111754767077,0.6480811006517017,0.7445993241612359,False,0
POMK,0.008327276581645796,0.031546137094831034,0.30998069032102343,0.6279869659666908,0.4689838281438571,False,0
HGSNAT,0.09633481682285897,0.022319438926346972,0.7078807627323196,0.5493000241370988,0.6285903934347092,False,0
SPIDR,0.06403219985499274,0.05975394968703382,0.6077721457880763,0.7744388124547429,0.6911054791214095,False,0
CEBPD,0.3597365918137645,0.15248701718212918,0.943519188993483,0.9286145305334299,0.9360668597634565,False,1
PRKDC,0.19568887803539153,0.07652900040508594,0.8584962587496983,0.8271783731595462,0.8428373159546223,False,0
MCM4,0.036412583846732606,0.11550945868690263,0.4954742939898624,0.8942795076031861,0.6948769007965243,False,0
UBE2V2,0.24207509789011833,0.06001136074475165,0.8941588221095824,0.7756456673907797,0.834902244750181,False,0
EFCAB1,0.00020815921339533599,0.0,0.12515085686700458,0.2035662563359884,0.1643585566014965,False,0
SNAI2,0.050703387663284485,0.1590798449387149,0.5585324643977794,0.9335626357711803,0.7460475500844799,True,0
PCMTD1,0.2530078856676203,0.06922445931713607,0.900856867004586,0.8063601255129134,0.8536084962587497,False,0
ST18,0.004621014394145735,0.0,0.2617668356263577,0.2035662563359884,0.23266654598117306,False,0
RB1CC1,0.26427106872214934,0.04099164112143935,0.907434226405986,0.6905020516533913,0.7989681390296887,False,0
OPRK1,0.00013351287391695583,0.0,0.1164011585807386,0.2035662563359884,0.1599837074583635,False,0
ATP6V1H,0.17376556735006435,0.08052751871186434,0.8370142408882453,0.8370142408882453,0.8370142408882453,False,0
RGS20,0.0003571121727276925,0.0,0.13806420468259714,0.2035662563359884,0.17081523050929276,False,0
TCEA1,0.3719237077886028,0.010296598574275092,0.9473207820419985,0.4338643495051895,0.6905925657735941,False,0
SOX17,0.10711352946217272,0.05196801856398823,0.7312334057446295,0.747103548153512,0.7391684769490707,True,0
RP1,0.0008865027436881146,0.0,0.16926140477914556,0.2035662563359884,0.186413830557567,False,0
TMEM68,0.05536212730488242,0.07145734474359977,0.5777214578807627,0.8136615978759353,0.695691527878349,False,0
TGS1,0.12321672163530703,0.03877074677401332,0.765327057687666,0.6772869901037896,0.7213070238957278,False,0
LYN,0.2706364626142024,0.0814738134590714,0.9111151339608979,0.8393676080135167,0.8752413709872073,False,0
PLAG1,0.009545863287316396,0.0,0.3227733526430123,0.2035662563359884,0.26316980448950034,False,0
CHCHD7,0.22757777285127656,0.002204377354378455,0.8847453536084963,0.3666425295679459,0.6256939415882211,False,0
SDR16C5,0.03642771664343084,0.0,0.4955949794834661,0.2035662563359884,0.3495806179097273,True,0
PENK,0.001753447797559676,0.0,0.20208785903934348,0.2035662563359884,0.20282705768766596,False,0
IMPAD1,0.0821366978510583,0.0949533862293009,0.6666063239198649,0.8650736181510983,0.7658399710354815,False,0
FAM110B,0.024876215939166352,0.08106675737359269,0.43211440984793625,0.838221095824282,0.635167752836109,False,0
CYP7A1,3.5389028528102965e-05,0.0,0.09636736664252957,0.2035662563359884,0.149966811489259,False,0
SDCBP,0.6140811301210735,0.21565529464319438,0.9854573980207579,0.9583635047067343,0.9719104513637461,False,1
NSMAF,0.0983328760589348,0.008828371690877995,0.7130702389572773,0.4217958001448226,0.56743301955105,False,0
TOX,0.08694993224535943,0.03868296689130943,0.6818126961139271,0.676743905382573,0.6792783007482501,False,0
CA8,0.010703014528651824,0.04870589908521895,0.33339367608013515,0.7315351194786387,0.5324643977793869,False,0
RAB2A,0.4493163193765793,0.23213767147713535,0.9646994931209268,0.9633116099444847,0.9640055515327057,False,1
CHD7,0.07529521683351678,0.15535741105736298,0.6454863625392228,0.9309075549118996,0.7881969587255612,False,0
CLVS1,0.0006865807146697493,0.0,0.15948587979724838,0.2035662563359884,0.1815260680666184,False,0
ASPH,0.26569227018268304,0.4391530114069185,0.9083393676080135,0.9914916727009413,0.9499155201544773,True,1
NKAIN3,6.957696057960963e-05,0.0,0.10559980690321023,0.2035662563359884,0.15458303161959933,False,0
GGH,0.06732330074202447,0.13105190101516834,0.620625150856867,0.9107530774800869,0.765689114168477,False,0
TTPA,0.0028549560269122524,0.0,0.22936278059377263,0.2035662563359884,0.21646451846488052,False,0
YTHDF3,0.12130531455973577,0.06416149396444971,0.7614651218923485,0.7901279266232198,0.7757965242577842,False,0
BHLHE22,0.0031799124740248485,0.04740180981774693,0.2360004827419744,0.7247767318368332,0.4803886072894038,False,0
CYP7B1,0.043775293879218496,0.10398603954601214,0.5289645184648806,0.8787110789283128,0.7038377986965967,False,0
ARMC1,0.10500233191471603,0.03830194050694763,0.7267680424812938,0.6742698527636978,0.7005189476224958,False,0
MTFR1,0.07216244986582268,0.09621851300171136,0.6360728940381366,0.867004586048757,0.7515387400434468,False,0
PDE7A,0.18581388764234114,0.053371639291814335,0.848781076514603,0.7518706251508569,0.80032585083273,False,0
DNAJC5B,0.026468798179158006,0.0,0.44152787834902246,0.2035662563359884,0.32254706734250543,True,0
TRIM55,0.003464908019193003,0.0,0.2420951001689597,0.2035662563359884,0.22283067825247405,True,0
RRS1,0.07338297682260561,0.03621250701964775,0.6394520878590394,0.6613565049481053,0.6504042964035723,False,0
ADHFE1,0.018102787195012637,0.03568027239483815,0.3904175718078687,0.6567704561911658,0.5235940139995172,False,0
MYBL1,0.0764482006884342,0.0,0.6489862418537292,0.2035662563359884,0.42627624909485884,False,0
VCPIP1,0.10200396077092776,0.01453043711157199,0.7210354815351194,0.4756215302920589,0.5983285059135892,False,0
