panel,group,metric,n,mean,ci95_low,ci95_high,n_bootstrap
I,deep_tumor_core,withheld_binary,913,0.0,0.0,0.0,3000
I,deep_tumor_core,withheld_score,913,0.3715080483443064,0.364645005578149,0.3783507432098573,3000
I,deep_tumor_core,Immune_cells_fraction,913,0.035102054390757254,0.028959325395892372,0.04169933356214498,3000
I,immune_associated_niche,withheld_binary,233,0.36909871244635195,0.30472103004291845,0.4334763948497854,3000
I,immune_associated_niche,withheld_score,233,0.48710114677441585,0.4704022469828625,0.5027193074040528,3000
I,immune_associated_niche,Immune_cells_fraction,233,0.4174375964438282,0.3727632781318945,0.45892206978916056,3000
I,low_signal_edge_context,withheld_binary,54,0.16666666666666666,0.07407407407407407,0.2777777777777778,3000
I,low_signal_edge_context,withheld_score,54,0.47902629468845676,0.441167723935876,0.5128392290423677,3000
I,low_signal_edge_context,Immune_cells_fraction,54,0.0,0.0,0.0,3000
I,mixed_tumor_boundary_niche,withheld_binary,330,0.03333333333333333,0.015151515151515152,0.05454545454545454,3000
I,mixed_tumor_boundary_niche,withheld_score,330,0.4247945566271779,0.41152585311478873,0.43768690880654537,3000
I,mixed_tumor_boundary_niche,Immune_cells_fraction,330,0.17168678550279878,0.1478025006504704,0.19810209550130145,3000
I,stroma_interface_niche,withheld_binary,76,0.3815789473684211,0.27631578947368424,0.4868421052631579,3000
I,stroma_interface_niche,withheld_score,76,0.5287071286472507,0.5030832636457924,0.552945011128802,3000
I,stroma_interface_niche,Immune_cells_fraction,76,0.1918438832286071,0.13677477595646845,0.2511793981311766,3000
I,tumor_interior,withheld_binary,642,0.021806853582554516,0.010903426791277258,0.03426791277258567,3000
I,tumor_interior,withheld_score,642,0.37574481926099246,0.36731195851002585,0.3843359425520679,3000
I,tumor_interior,Immune_cells_fraction,642,0.09724941581765525,0.0840231069028439,0.1113174556251564,3000
