scene,scene_index,group,marker_percentile
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8571650606154803
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.972956170345042
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9252409076779609
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9418713086726764
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9123406900839292
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9735778675784893
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9499533727074915
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9022381100404103
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9055020205160087
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.963941560460056
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9552377991917936
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.928660242461921
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9344109418713087
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9129623873173764
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9454460677649984
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9704693814112527
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9233758159776189
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9805719614547715
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9410941871308672
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8706869754429593
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8607398197078023
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8585638793907368
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9553932235001554
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8905812869132732
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8630711843332297
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8902704382965496
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8953994404724899
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9836804476220081
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9912962387317377
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8809449797948399
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.978396021137706
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9623873173764377
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8985079266397265
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9283493938451974
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9959589679825924
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9267951507615791
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8978862294062792
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9614547715262667
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8559216661485857
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8716195212931303
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9771526266708113
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8977308050979174
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9780851725209823
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.91156356854212
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9564811936586882
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9087659309916071
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8557662418402238
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9131178116257382
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9213552999689152
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9316133043207958
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9372085794218216
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8807895554864781
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9110972956170345
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9732670189617656
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.967516319552378
