method,count,mean,median,std
CytoSPACE,9,0.5045562151555395,0.5171331687961171,0.10312773885958228
SVTuner,9,0.6552602601605417,0.67877292556333,0.16323467551073131
"Tangram
(all genes)",9,0.4512677916567214,0.4573122792145839,0.1168191082197922
"Tangram
(marker genes)",9,0.46869124770535325,0.4553723207078519,0.12594990675472126
novoSpaRc,9,0.48886121344310773,0.4708268068646171,0.10320521434692247
SpaOTsc,9,0.3835670380755182,0.3851671880868035,0.12167017837652794
CellTrek,9,0.4351682292825332,0.480973740514528,0.11961160347632359
