method,count,mean,median,std
CytoSPACE,9,0.5154127606317969,0.5491771337894046,0.10781745495440462
SVTuner,9,0.7103724394165715,0.7119076162403215,0.10643207055474842
"Tangram
(all genes)",9,0.4376678594864196,0.463867778934074,0.11060223830517636
"Tangram
(marker genes)",9,0.4627673958030986,0.45172253216541886,0.1204060654515037
novoSpaRc,9,0.49142732107912135,0.4766124724829792,0.10204448640980872
SpaOTsc,9,0.39502531220286685,0.40865948058498713,0.1178091501907608
CellTrek,9,0.5308934717122438,0.5402870429935075,0.1166194942683752
