ligand,ligand_score
TXLNA,0.492681571627036
ADM,1.0
TNC,0.16117117445635407
KITLG,0.06301935268086946
BMP2,0.10242502220581179
VEGFA,0.5785333360244329
THBS2,0.42029254174751984
VWF,0.8752377170949898
ADAM9,0.43206137606663797
EFNB3,0.042812649095256276
RGMA,0.1625490185768979
FN1,0.3604959583472058
CXCL12,0.3307919176781328
TGFB1,0.6915589421197057
