rank,gene,stat,hit,running_es
1,SPP1,0.4588829410355115,True,0.08644168316069563
2,DUSP1,0.38977378417931396,False,0.08438829507034655
3,LGALS9,0.37154389591939985,False,0.08233490697999747
4,PKM,0.3448277632701615,False,0.08028151888964839
5,CTNNB1,0.3349031891484372,False,0.07822813079929931
6,CSF1R,0.3248691937908582,False,0.07617474270895024
7,CYBB,0.32431216107276706,False,0.07412135461860116
8,CD83,0.3138572942277885,False,0.07206796652825208
9,SOX9,0.3030205460053985,False,0.070014578437903
10,IL4I1,0.27813755377114585,True,0.12240850322386654
11,VEGFA,0.26598936340889645,False,0.12035511513351746
12,MRC1,0.2578620905755425,True,0.16892966680978186
13,MMP11,0.23340098416323507,False,0.16687627871943278
14,IDH1,0.23340098416323496,True,0.21084299031020332
15,HLA-DRA,0.22350133858737609,True,0.25294486459771626
16,RGMB,0.20674147721862174,False,0.2508914765073672
17,LRP1,0.18454079592812644,True,0.2856541917563684
18,IKBKB,0.18413429779930943,False,0.28360080366601936
19,CXCR4,0.1836092740344386,False,0.2815474155756703
20,ENG,0.18148072581904207,True,0.3157336927243096
21,STAT6,0.1771219302303111,False,0.31368030463396057
22,ITGAX,0.17080650655028196,False,0.3116269165436115
23,HLA-DMA,0.1697943023842291,True,0.34361177363171375
24,ATF3,0.16853948594899543,False,0.3415583855413647
25,IDO1,0.16448715842369444,False,0.33950499745101564
26,ICAM1,0.1488923465733804,True,0.3675524664166415
27,JUN,0.14828664053614438,True,0.3954858360234176
28,JUNB,0.14701580179763307,False,0.39343244793306853
29,HLA-DQA1,0.14565156412654418,True,0.42086943726563153
30,HAVCR2,0.14296347427233197,True,0.44780005996150735
31,PECAM1,0.1418799790043822,False,0.4457466718711583
32,MAP2K1,0.1378276514790811,False,0.44369328378080924
33,TGFB1,0.1373498622483674,False,0.4416398956904602
34,PPARD,0.1342619053981478,False,0.43958650760011114
35,PDGFRB,0.1332975347230664,False,0.4375331195097621
36,LDHA,0.1332975347230664,False,0.43547973141941304
37,PDK4,0.12816171192981554,True,0.4596220847415256
38,AXIN2,0.1267629563847819,False,0.45756869665117655
39,BRD4,0.12471509044175066,False,0.4555153085608275
40,COL4A1,0.12223283962876715,False,0.45346192047047845
41,HLA-DPB1,0.11731617149377149,False,0.4514085323801294
42,CSF1,0.11522047205976887,False,0.44935514428978035
43,PTGS2,0.11116814453446788,False,0.4473017561994313
44,TCF7L2,0.11116814453446788,False,0.44524836810908225
45,FCGR3A,0.1107088508744214,True,0.46610305359548576
46,ASCL2,0.10663802777845316,False,0.4640496655051367
47,CAV1,0.10663802777845312,False,0.46199627741478766
48,CHEK1,0.10663802777845312,False,0.4599428893244386
49,PROX1,0.10663802777845312,False,0.45788950123408956
50,TRAC,0.10663802777845312,False,0.4558361131437405
51,ETS1,0.1066380277784531,False,0.45378272505339146
52,IL6R,0.10415577696546968,False,0.4517293369630424
53,PRKCA,0.10415577696546965,False,0.44967594887269335
54,CD177,0.09557333268415387,False,0.4476225607823443
55,BST2,0.09557333268415386,True,0.4656261059214434
56,DES,0.09557333268415386,False,0.4635727178310943
57,FBLN1,0.09557333268415386,False,0.4615193297407453
58,NFKB2,0.09557333268415374,False,0.4594659416503962
59,RELA,0.09104321592813913,False,0.4574125535600472
60,CDKN1B,0.0885609651151556,False,0.4553591654696981
61,TGFBI,0.08601712655728844,True,0.47156256841921673
62,CD40,0.0851143436270907,True,0.48759591040321126
63,PDGFC,0.0845086375898546,False,0.4855425223128622
64,HLA-DRB1,0.0838501360213888,True,0.5013377202659306
65,MAML1,0.07997852083383988,False,0.49928433217558155
66,STAT3,0.07997852083383986,False,0.4972309440852325
67,LMNA,0.07997852083383984,True,0.5122968298250227
68,SMAD2,0.07997852083383984,False,0.5102434417346736
69,SOX2,0.07997852083383984,False,0.5081900536443246
70,MYC,0.07997852083383984,False,0.5061366655539755
71,PLOD2,0.07997852083383984,False,0.5040832774636265
72,Blank-41,0.07997852083383984,False,0.5020298893732774
73,LAMC2,0.07997852083383984,False,0.49997650128292837
74,BUB1,0.07997852083383984,False,0.4979231131925793
75,EPHB4,0.07997852083383983,False,0.49586972510223026
76,CDH1,0.07997852083383983,False,0.4938163370118812
77,ITGAM,0.07906634673317386,False,0.49176294892153216
78,PTPRC,0.0774962700208564,False,0.4897095608311831
79,CDKN1A,0.0734439424955553,False,0.48765617274083406
80,TREM2,0.07156739771980791,True,0.5011376203282535
81,APC,0.06891382573954061,False,0.49908423223790443
82,TNFRSF4,0.06891382573954058,False,0.4970308441475554
83,CXCL2,0.06891382573954058,True,0.5100124273733911
84,CD1C,0.06891382573954058,False,0.5079590392830421
85,CDCA7,0.06891382573954057,False,0.505905651192693
86,VWF,0.06438370898352583,False,0.503852263102344
87,GPX3,0.062379247401256055,True,0.5156029006995798
88,ITGA5,0.061901458170542295,False,0.5135495126092308
89,CIITA,0.059231863886997416,False,0.5114961245188817
90,CCND1,0.05784913064524132,False,0.5094427364285327
91,HLA-B,0.05627905393292387,True,0.5200442552770553
92,XBP1,0.0541833544989212,False,0.5179908671867063
93,LRP5,0.053319013889226566,False,0.5159374790963572
94,Blank-15,0.053319013889226566,False,0.5138840910060082
95,DNMT3A,0.053319013889226566,False,0.5118307029156591
96,CTSG,0.05331901388922656,False,0.5097773148253101
97,SRPRB,0.05331901388922656,False,0.507723926734961
98,SNAI1,0.05331901388922656,False,0.505670538644612
99,KLRK1,0.05331901388922656,False,0.5036171505542629
100,CCL7,0.05331901388922656,False,0.5015637624639139
101,MMP7,0.05331901388922656,False,0.4995103743735648
102,FZD7,0.05331901388922656,False,0.4974569862832158
