rank,gene,stat,hit,running_es,CellType
1,ANXA5,0.2953367829322815,True,0.011654438778040272,CD4 T cells
2,PRDX1,0.2565422058105469,True,0.021777984521030157,CD4 T cells
3,COX5B,0.24587738513946533,False,0.02170754214289547,CD4 T cells
4,TUFM,0.2454204261302948,False,0.021637099764760782,CD4 T cells
5,COX6B1,0.243879497051239,False,0.021566657386626095,CD4 T cells
6,PSMB8,0.24325382709503174,True,0.031165823488645574,CD4 T cells
7,RANBP1,0.23925477266311646,True,0.0406071808186453,CD4 T cells
8,TMEM258,0.23812967538833618,False,0.04053673844051061,CD4 T cells
9,TUBA1B,0.23590874671936035,False,0.04046629606237592,CD4 T cells
10,SEC61B,0.23309409618377686,False,0.040395853684241236,CD4 T cells
11,ILF2,0.23091170191764832,False,0.04032541130610655,CD4 T cells
12,TCEB2,0.22865533828735352,True,0.04934849882972557,CD4 T cells
13,PRKAR1A,0.22711676359176636,False,0.04927805645159088,CD4 T cells
14,NDUFA6,0.22213757038116455,False,0.049207614073456196,CD4 T cells
15,NDUFB7,0.22066885232925415,False,0.04913717169532151,CD4 T cells
16,PGAM1,0.21967828273773193,True,0.05780601094931636,CD4 T cells
17,ATP5J,0.21410304307937622,False,0.05773556857118167,CD4 T cells
18,DBI,0.21245908737182617,False,0.057665126193046985,CD4 T cells
19,SNRPF,0.21119636297225952,False,0.0575946838149123,CD4 T cells
20,H2AFZ,0.2073371410369873,False,0.05752424143677761,CD4 T cells
21,BRK1,0.20577293634414673,True,0.06564435456657465,CD4 T cells
22,TALDO1,0.20226728916168213,False,0.06557391218843997,CD4 T cells
23,NDUFA13,0.2014000415802002,True,0.07352146423795697,CD4 T cells
24,NDUFB10,0.20063456892967224,False,0.07345102185982229,CD4 T cells
25,CKLF,0.19958585500717163,True,0.08132698334707547,CD4 T cells
26,CLTA,0.19854426383972168,False,0.08125654096894079,CD4 T cells
27,TOMM22,0.19804096221923828,False,0.08118609859080611,CD4 T cells
28,IDH2,0.19692334532737732,False,0.08111565621267143,CD4 T cells
29,PARK7,0.19688349962234497,True,0.0888849786450928,CD4 T cells
30,PSMB1,0.19651830196380615,False,0.08881453626695812,CD4 T cells
31,PSMD8,0.19636482000350952,True,0.09656339081250431,CD4 T cells
32,ALDOA,0.19623589515686035,False,0.09649294843436963,CD4 T cells
33,TMCO1,0.19609037041664124,False,0.09642250605623495,CD4 T cells
34,PDCD6,0.1931554675102234,False,0.09635206367810027,CD4 T cells
35,FXYD5,0.1923351287841797,False,0.09628162129996559,CD4 T cells
36,HINT1,0.19195640087127686,False,0.09621117892183091,CD4 T cells
37,NHP2L1,0.1918776035308838,False,0.09614073654369623,CD4 T cells
38,HMOX2,0.19160336256027222,False,0.09607029416556155,CD4 T cells
39,S100A4,0.19067633152008057,True,0.10359467230112088,CD4 T cells
40,ATP5G1,0.18958309292793274,False,0.1035242299229862,CD4 T cells
41,ATP5A1,0.18790966272354126,False,0.10345378754485152,CD4 T cells
42,SF3B5,0.18777713179588318,False,0.10338334516671684,CD4 T cells
43,HDAC1,0.18704846501350403,False,0.10331290278858216,CD4 T cells
44,UQCR10,0.18672937154769897,False,0.10324246041044748,CD4 T cells
45,TPM4,0.18669742345809937,False,0.1031720180323128,CD4 T cells
46,EIF3D,0.18394631147384644,False,0.10310157565417812,CD4 T cells
47,UBL5,0.18348878622055054,True,0.11034232231713156,CD4 T cells
48,MOB1A,0.18280404806137085,False,0.11027187993899688,CD4 T cells
49,TPI1,0.18152666091918945,True,0.11743519815239348,CD4 T cells
50,MYEOV2,0.18132972717285156,False,0.1173647557742588,CD4 T cells
51,CTSD,0.18078124523162842,True,0.12449865875055348,CD4 T cells
52,ANAPC11,0.1795867383480072,False,0.1244282163724188,CD4 T cells
53,HN1,0.17947423458099365,True,0.1315105427199616,CD4 T cells
54,COX5A,0.17939013242721558,True,0.13858955026856384,CD4 T cells
55,PEBP1,0.17928290367126465,False,0.13851910789042915,CD4 T cells
56,ENO1,0.1792534589767456,True,0.1455927220967417,CD4 T cells
57,DNAJC8,0.17913329601287842,False,0.145522279718607,CD4 T cells
