morphology_domain,n_spots,n_main_analysis_spots,endpoint_positive_rate,mean_cta_immune_fraction,mean_withheld_score,withheld_binary_rate,mean_baseline_forced_nonimmune_burden,mean_svtuner_prevented_burden_continuous
tumor_core,1602,1565,0.0,0.0262257228383956,0.3640599139277772,0.00686641697877653,1.0,0.3640599139277772
immune_enriched,312,132,1.0,0.5952527177340872,0.501284948126278,0.28205128205128205,1.0,0.501284948126278
stroma_rich,147,126,0.0,0.09367246116280968,0.4892602414940906,0.1836734693877551,0.9931972789115646,0.484275748791327
mixed_boundary,94,49,0.0,0.17531624697157192,0.43700376535147667,0.010638297872340425,1.0,0.43700376535147667
unmapped_or_excluded,93,16,0.125,0.053763440860215055,0.5109296699926481,0.23655913978494625,1.0,0.5109296699926481
