raw_sample,profile_mask_sample,masked_target_type,n_spatial_units,n_marker_genes,marker_genes,support_sd,baseline_peak_es,baseline_low_score_threshold,baseline_effective_hit_mass,baseline_n_strict_hits,baseline_n_threshold_ties,baseline_method_label,route2_peak_es,route2_low_score_threshold,route2_effective_hit_mass,route2_n_strict_hits,route2_n_threshold_ties,route2_method_label,delta_peak_es
HumanBreastCancerPatient1,highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages,Monocytes and Macrophages,2561,30,SPP1;C1QC;FCGR3A;CD14;LYZ;CYBB;CSF1R;TGFBI;FCGR2A;IL4I1;ITGB2;SERPINA1;MRC1;CD163;TLR2;MAFB;MSR1;CCR1;ITGAX;HAVCR2;CCL8;CD86;TGFBR1;CD207;MMP12;TREM2;SIGLEC1;TMEM37;MARCO;IL1B,0.05236961830312647,0.11286239880905717,0.3807667316439246,256.1,164,1267,CytoSPACE,0.08556499197361998,0.3807667316439246,256.09999999999997,195,1504,SVTuner,-0.027297406835437188
HumanColonCancerPatient1,highres_humancoloncancerpatient1_profile_mask_fibroblasts,Fibroblasts,2561,30,COL1A1;ACTA2;MMP11;FN1;PDGFRB;COL5A1;PDGFRA;CD248;DES;COL11A1;WNT5A;TNC;SFRP2;ITGA1;MYH11;ELN;COL6A3;MMP1;CSF1;FBLN1;TGFB3;IRS1;VCAM1;SNAI2;FAP;PDPN;FZD7;TNF;SMO;ANGPT1,0.10709695786977087,0.0694601573530823,0.25631091617933727,256.1,97,2026,CytoSPACE,0.04571742840011471,0.25631091617933727,256.1,115,2363,SVTuner,-0.023742728952967584
HumanLungCancerPatient1,highres_humanlungcancerpatient1_profile_mask_plasma_cells,Plasma cells,2561,18,XBP1;MZB1;POU2AF1;FCRL5;IRF4;DERL3;CD79A;TNFRSF17;PDK1;CD27;PIK3CG;ICAM3;BST2;ICAM2;IFNAR2;XCR1;STAP1;Blank-45,0.04592262913927924,0.06617753858980935,0.18449197860962566,256.1,186,92,CytoSPACE,0.06490249034665231,0.18449197860962566,256.1,194,96,SVTuner,-0.001275048243157037
HumanMelanomaPatient1,highres_humanmelanomapatient1_profile_mask_fibroblasts,Fibroblasts,2561,30,COL1A1;FN1;SFRP2;ACTA2;COL5A1;EGR1;PDGFRB;PLA2G2A;TNC;MMP11;CD248;ELN;FBLN1;PDGFRA;SERPINE1;ATF3;FGFR1;FAP;EGFR;Blank-37;ACKR3;COL11A1;KIT;MMP2;AXIN2;MYH11;SMOC2;COL6A3;MFAP5;ANGPT1,0.05451192502307935,0.25053540684343795,0.23938611589214,256.1,150,1148,CytoSPACE,0.1576106493619183,0.23938611589214,256.1,237,1792,SVTuner,-0.09292475748151965
HumanMelanomaPatient2,highres_humanmelanomapatient2_profile_mask_b_cells,B cells,2561,14,MS4A1;CD79B;TNFRSF13C;CD22;BLK;CD19;CD79A;PAX5;TNFRSF13B;FCER2;CXCR5;STAP1;CR2;Blank-34,0.0825556834399179,0.07404515018728003,0.07061855670103093,256.1,170,477,CytoSPACE,0.09147893720835686,0.07061855670103093,256.1,147,506,SVTuner,0.017433787021076827
