group,sample,predicted_blank_spots,correct_abstention_spots,incorrect_abstention_spots,truth_unsupported_spots,blank_precision,blank_recall
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise10,382,382,0,384,1.0,0.9947916666666666
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise10,382,382,0,384,1.0,0.9947916666666666
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells_scnoise10,382,382,0,384,1.0,0.9947916666666666
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise10,205,140,65,385,0.6829268292682927,0.36363636363636365
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise10,22,19,3,397,0.8636363636363636,0.04785894206549118
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise10,8,5,3,397,0.625,0.012594458438287154
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56_scnoise10,2914,2841,73,2853,0.9749485243651338,0.9957939011566772
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise10,2902,2842,60,2853,0.9793246037215714,0.9961444093936207
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise10,3042,2851,191,2853,0.9372123602892833,0.9992989835261129
