,Astrocyte,Excitatory neuron,Inhibitory neuron,Neuroblast,Microglia,Endothelial,Oligodendrocyte/OPC
Astrocyte,0.0,0.3314917127071823,0.4861878453038674,0.08011049723756906,0.024861878453038673,0.0027624309392265192,0.07458563535911603
Excitatory neuron,0.13259668508287292,0.0,0.7900552486187845,0.052486187845303865,0.008287292817679558,0.0,0.016574585635359115
Inhibitory neuron,0.34806629834254144,0.505524861878453,0.0,0.06906077348066299,0.013812154696132596,0.0027624309392265192,0.06077348066298342
Neuroblast,0.18232044198895028,0.5469613259668509,0.21823204419889503,0.0,0.008287292817679558,0.0,0.04419889502762431
Microglia,0.35082872928176795,0.281767955801105,0.19337016574585636,0.03038674033149171,0.0,0.0,0.143646408839779
Endothelial,0.35911602209944754,0.30939226519337015,0.1685082872928177,0.03314917127071823,0.04419889502762431,0.0,0.0856353591160221
Oligodendrocyte/OPC,0.6464088397790055,0.08839779005524862,0.1270718232044199,0.052486187845303865,0.07458563535911603,0.011049723756906077,0.0
