rank,gene,stat,hit,running_es,CellType
1,BATF,0.3232012093067169,True,0.01098439668346597,CD4 T cells
2,PSMB1,0.2881808876991272,False,0.010913954305331285,CD4 T cells
3,NDUFA13,0.28659456968307495,True,0.02065422863004341,CD4 T cells
4,TIGIT,0.2749156951904297,True,0.029997581821574117,CD4 T cells
5,PSMB3,0.27309364080429077,True,0.039279010219571,CD4 T cells
6,STAT1,0.2680206298828125,True,0.04838802600667264,CD4 T cells
7,SH3BGRL,0.2656818628311157,False,0.048317583628537955,CD4 T cells
8,SNRPB,0.26563048362731934,False,0.04824714125040327,CD4 T cells
9,TNFRSF18,0.2642754316329956,True,0.05722887179831148,CD4 T cells
10,TPI1,0.26028066873550415,True,0.06607483534084072,CD4 T cells
11,DNPH1,0.2514030337333679,True,0.0746190813722144,CD4 T cells
12,ISG15,0.24653911590576172,True,0.0829980210825851,CD4 T cells
13,H2AFZ,0.24550485610961914,False,0.08292757870445042,CD4 T cells
14,ARF5,0.24395042657852173,False,0.08285713632631574,CD4 T cells
15,PGAM1,0.2398051619529724,True,0.09100721420283285,CD4 T cells
16,PPM1G,0.23613494634628296,True,0.09903255521891494,CD4 T cells
17,NDUFV2,0.23540592193603516,False,0.09896211284078026,CD4 T cells
18,COTL1,0.23403465747833252,False,0.09889167046264558,CD4 T cells
19,HSPA9,0.2294691801071167,False,0.0988212280845109,CD4 T cells
20,PTPN7,0.22821855545043945,True,0.10657752067070668,CD4 T cells
21,CTLA4,0.2270517349243164,True,0.11429415740429957,CD4 T cells
22,PRDX2,0.22546106576919556,False,0.1142237150261649,CD4 T cells
23,FAM96B,0.22335797548294067,True,0.12181481473270148,CD4 T cells
24,ENO1,0.21913683414459229,True,0.1292624536798651,CD4 T cells
25,APOBEC3C,0.21761518716812134,True,0.13665837755443477,CD4 T cells
26,CALM3,0.2174554467201233,True,0.14404887245040945,CD4 T cells
27,CCT8,0.21696364879608154,False,0.14397843007227476,CD4 T cells
28,SLC25A5,0.21535247564315796,False,0.14390798769414007,CD4 T cells
29,S100A4,0.21175658702850342,True,0.15110479972726146,CD4 T cells
30,IGFLR1,0.21118932962417603,True,0.15828233280915574,CD4 T cells
31,MOB1A,0.2104153037071228,False,0.15821189043102105,CD4 T cells
32,FKBP1A,0.20974379777908325,True,0.16534029530810712,CD4 T cells
33,IFI35,0.20909450948238373,True,0.17244663331165588,CD4 T cells
34,PRKAR1A,0.2086169719696045,False,0.1723761909335212,CD4 T cells
35,PSMD8,0.20857805013656616,True,0.17946497642129344,CD4 T cells
36,CORO1B,0.2085014283657074,True,0.18655115782250453,CD4 T cells
37,CMC2,0.20831966400146484,False,0.18648071544436984,CD4 T cells
38,BST2,0.2080863118171692,True,0.19355278859131791,CD4 T cells
39,UBL5,0.205483078956604,True,0.20053638761881198,CD4 T cells
40,HNRNPD,0.20485249161720276,False,0.2004659452406773,CD4 T cells
41,COX8A,0.20421689748764038,True,0.20740651150985284,CD4 T cells
42,PPP1CA,0.20342499017715454,False,0.20733606913171815,CD4 T cells
43,ABRACL,0.20218485593795776,False,0.20726562675358345,CD4 T cells
44,GUK1,0.20212876796722412,False,0.20719518437544876,CD4 T cells
45,SEC61G,0.20212602615356445,False,0.20712474199731407,CD4 T cells
46,UQCRH,0.2018396258354187,False,0.20705429961917937,CD4 T cells
47,NDUFA11,0.2015601396560669,False,0.20698385724104468,CD4 T cells
48,ICA1,0.2004481852054596,True,0.21379633911727466,CD4 T cells
49,BZW1,0.19828498363494873,False,0.21372589673913997,CD4 T cells
50,VCP,0.19805985689163208,True,0.22045720829529067,CD4 T cells
51,SEPW1,0.19713395833969116,False,0.22038676591715597,CD4 T cells
52,C19orf53,0.19686222076416016,False,0.22031632353902128,CD4 T cells
53,PSMB8,0.1959594488143921,True,0.22697625010386255,CD4 T cells
54,COX7B,0.1918773055076599,False,0.22690580772572785,CD4 T cells
55,TNFRSF4,0.19152699410915375,True,0.23341509178255293,CD4 T cells
56,DCTN2,0.1884254515171051,False,0.23334464940441824,CD4 T cells
57,DLD,0.18830975890159607,False,0.23327420702628354,CD4 T cells
58,WARS,0.18821240961551666,True,0.23967084079013146,CD4 T cells
59,ATP5J,0.18684393167495728,False,0.23960039841199676,CD4 T cells
60,CST7,0.18682515621185303,True,0.2459498846366414,CD4 T cells
61,ATP5C1,0.18679362535476685,False,0.24587944225850672,CD4 T cells
62,CHCHD2,0.18655049800872803,False,0.24580899988037203,CD4 T cells
63,FBXW5,0.18650761246681213,False,0.24573855750223733,CD4 T cells
64,RBX1,0.18643176555633545,False,0.24566811512410264,CD4 T cells
65,TRMT112,0.18629580736160278,False,0.24559767274596794,CD4 T cells
66,SURF4,0.18608596920967102,True,0.2519220367773119,CD4 T cells
67,TAGLN2,0.1843751072883606,False,0.2518515943991772,CD4 T cells
68,CAP1,0.1841949224472046,False,0.2517811520210425,CD4 T cells
69,MT2A,0.18401110172271729,True,0.2580349990899307,CD4 T cells
70,TXLNA,0.18389752507209778,False,0.257964556711796,CD4 T cells
71,MAGEH1,0.1835901290178299,True,0.26420409649763504,CD4 T cells
72,MRPL14,0.18352258205413818,False,0.26413365411950035,CD4 T cells
73,DECR1,0.18297764658927917,False,0.26406321174136566,CD4 T cells
74,PMVK,0.18256844580173492,True,0.2702680283473177,CD4 T cells
75,RAN,0.18254733085632324,False,0.27019758596918303,CD4 T cells
76,PDIA3,0.18180346488952637,False,0.27012714359104834,CD4 T cells
77,ANXA2,0.18008100986480713,False,0.27005670121291364,CD4 T cells
78,NOP10,0.17909929156303406,True,0.2761436142800895,CD4 T cells
79,PVRIG,0.17852604389190674,False,0.2760731719019548,CD4 T cells
80,ANXA5,0.17822977900505066,True,0.28213053349907696,CD4 T cells
81,CD58,0.17773714661598206,False,0.28206009112094227,CD4 T cells
82,TPM4,0.17716407775878906,False,0.2819896487428076,CD4 T cells
83,PSMC3,0.17687004804611206,False,0.2819192063646729,CD4 T cells
84,ARF1,0.17646503448486328,False,0.2818487639865382,CD4 T cells
85,IDH2,0.1762811243534088,False,0.2817783216084035,CD4 T cells
86,MTHFD2,0.17616373300552368,False,0.2817078792302688,CD4 T cells
87,LSM6,0.17570096254348755,False,0.2816374368521341,CD4 T cells
88,NINJ2,0.17480328679084778,True,0.2875783448326552,CD4 T cells
89,PRELID1,0.1746230125427246,False,0.2875079024545205,CD4 T cells
90,CS,0.17458784580230713,False,0.2874374600763858,CD4 T cells
91,DUSP4,0.17304617166519165,True,0.293318650305231,CD4 T cells
92,UBB,0.17136919498443604,False,0.2932482079270963,CD4 T cells
93,U2AF1,0.17116457223892212,False,0.29317776554896163,CD4 T cells
94,COPS6,0.17056328058242798,False,0.29310732317082694,CD4 T cells
95,S100A11,0.1704694628715515,False,0.29303688079269224,CD4 T cells
96,PSME2,0.17008590698242188,True,0.29881746272977594,CD4 T cells
97,FLII,0.1700691282749176,False,0.29874702035164125,CD4 T cells
98,SHFM1,0.16996663808822632,False,0.29867657797350655,CD4 T cells
99,BCAP31,0.16950154304504395,False,0.29860613559537186,CD4 T cells
100,DBI,0.1692289113998413,False,0.29853569321723716,CD4 T cells
101,EWSR1,0.16848748922348022,False,0.29846525083910247,CD4 T cells
102,STOML2,0.16767418384552002,False,0.2983948084609678,CD4 T cells
103,TMEM59,0.16730326414108276,False,0.2983243660828331,CD4 T cells
104,NDUFB1,0.16710755228996277,False,0.2982539237046984,CD4 T cells
105,CLK3,0.16709867119789124,False,0.2981834813265637,CD4 T cells
106,APOBEC3G,0.16675153374671936,True,0.3038507404255607,CD4 T cells
107,PSMB10,0.1666894555091858,False,0.303780298047426,CD4 T cells
