method,source_type,receiver_type,coupling_change,bootstrap_se,fdr
CytoSPACE dropout,Fibroblasts,Epithelial cells,0.0014697236919459142,0.00047056048,0.002739167520750593
CytoSPACE dropout,Fibroblasts,Fibroblasts,0.02689594356261023,0.0023579642,1.9284133142662702e-29
CytoSPACE dropout,Fibroblasts,Monocytes and Macrophages,0.011757789535567309,0.001574774,1.826798471957439e-13
CytoSPACE dropout,Fibroblasts,NK cells,0.012933568489124048,0.0012847639,3.0120003951424094e-23
CytoSPACE dropout,Fibroblasts,PVL,0.016019988242210466,0.0016619052,1.9118855385977412e-21
CytoSPACE dropout,Fibroblasts,Plasma cells,0.0,0.0,1.0
CytoSPACE dropout,Fibroblasts,T-cells,0.0026944934352341756,0.0004946206,8.857732810241892e-08
CytoSPACE dropout,Fibroblasts,Abstained,0.0,0.0,1.0
CytoSPACE dropout,Monocytes and Macrophages,B cells,0.009896139525769156,0.0011466765,1.762611241157183e-17
CytoSPACE dropout,Monocytes and Macrophages,CD4 T cells,0.007397609249461101,0.00086534355,3.3179801354234265e-17
CytoSPACE dropout,Monocytes and Macrophages,CD8 T cells,0.0077405447775818126,0.0010341568,1.6112173097202835e-13
CytoSPACE dropout,Monocytes and Macrophages,Endothelial cells,0.005927885557515187,0.0009137528,1.6993321132762613e-10
CytoSPACE dropout,Monocytes and Macrophages,Epithelial cells,0.0001959631589261219,0.00014874474,0.25987734274276153
CytoSPACE dropout,Monocytes and Macrophages,Fibroblasts,0.011904761904761902,0.0014011367,5.1156307119045086e-17
CytoSPACE dropout,Monocytes and Macrophages,Monocytes and Macrophages,0.035126396237507344,0.0029510818,5.879383070516287e-32
CytoSPACE dropout,Monocytes and Macrophages,NK cells,0.007691553987850284,0.00094995584,1.377698324161437e-15
CytoSPACE dropout,Monocytes and Macrophages,PVL,0.005388986870468351,0.0009752113,5.825303072533599e-08
CytoSPACE dropout,Monocytes and Macrophages,Plasma cells,0.0,0.0,1.0
CytoSPACE dropout,Monocytes and Macrophages,T-cells,0.0013227513227513227,0.00035005325,0.0002494522415975072
CytoSPACE dropout,Monocytes and Macrophages,Abstained,0.0,0.0,1.0
CytoSPACE dropout,NK cells,B cells,0.023956496178718395,0.001552314,1.091710904100322e-52
CytoSPACE dropout,NK cells,CD4 T cells,0.021800901430531053,0.0014538919,7.139939708891601e-50
CytoSPACE dropout,NK cells,CD8 T cells,0.023368606701940034,0.0016231952,3.5539936075470415e-46
CytoSPACE dropout,NK cells,Endothelial cells,0.012051734273956496,0.0010977486,2.325194932067989e-27
CytoSPACE dropout,NK cells,Epithelial cells,0.0015187144816774447,0.00044479026,0.0009895854214007297
CytoSPACE dropout,NK cells,Fibroblasts,0.01582402508328434,0.0015156214,7.0583341374883045e-25
CytoSPACE dropout,NK cells,Monocytes and Macrophages,0.008181461885165588,0.0010079251,1.185089087340308e-15
CytoSPACE dropout,NK cells,NK cells,0.023172643543013908,0.0014774392,2.7877760298999765e-54
CytoSPACE dropout,NK cells,PVL,0.010288065843621401,0.001198485,2.4846891083044564e-17
CytoSPACE dropout,NK cells,Plasma cells,0.0,0.0,1.0
CytoSPACE dropout,NK cells,T-cells,0.0053399960807368205,0.00071068405,1.311984671651531e-13
CytoSPACE dropout,NK cells,Abstained,0.0,0.0,1.0
CytoSPACE dropout,PVL,B cells,0.007005682931608855,0.00094346463,2.451643779253528e-13
CytoSPACE dropout,PVL,CD4 T cells,0.006368802665098961,0.0010140021,6.379790578195855e-10
CytoSPACE dropout,PVL,CD8 T cells,0.005731922398589064,0.0007988264,1.5264126517301079e-12
CytoSPACE dropout,PVL,Endothelial cells,0.007495590828924159,0.0010137323,3.0609448703922246e-13
CytoSPACE dropout,PVL,Epithelial cells,0.0004409171075837742,0.0001828566,0.022891626984555415
CytoSPACE dropout,PVL,Fibroblasts,0.01165980795610425,0.0014062613,2.8791852141151564e-16
CytoSPACE dropout,PVL,Monocytes and Macrophages,0.00416421712718009,0.0008083013,4.4225219761598974e-07
CytoSPACE dropout,PVL,NK cells,0.00734861845972957,0.0010616094,9.151039708664364e-12
CytoSPACE dropout,PVL,PVL,0.008769351361943954,0.0014253097,1.42552379387546e-09
CytoSPACE dropout,PVL,Plasma cells,0.0,0.0,1.0
CytoSPACE dropout,PVL,T-cells,0.0009798157946306096,0.00039975854,0.020931785220187737
CytoSPACE dropout,PVL,Abstained,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,B cells,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,CD4 T cells,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,CD8 T cells,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,Endothelial cells,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,Epithelial cells,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,Fibroblasts,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,Monocytes and Macrophages,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,NK cells,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,PVL,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,Plasma cells,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,T-cells,0.0,0.0,1.0
CytoSPACE dropout,Plasma cells,Abstained,0.0,0.0,1.0
CytoSPACE dropout,T-cells,B cells,0.0038702723887909067,0.00057255354,2.7661488960914722e-11
CytoSPACE dropout,T-cells,CD4 T cells,0.004703115814226926,0.0005899597,3.749238833697267e-15
CytoSPACE dropout,T-cells,CD8 T cells,0.003674309229864785,0.00052057,3.519072975970696e-12
CytoSPACE dropout,T-cells,Endothelial cells,0.0019106407995296882,0.00044253957,2.6126048064867804e-05
CytoSPACE dropout,T-cells,Epithelial cells,0.00034293552812071334,0.00017718048,0.07472060709525102
CytoSPACE dropout,T-cells,Fibroblasts,0.0020086223789927493,0.0004513607,1.4368315629664048e-05
CytoSPACE dropout,T-cells,Monocytes and Macrophages,0.0013717421124828533,0.00037060602,0.0003356711100782468
CytoSPACE dropout,T-cells,NK cells,0.002988438173623358,0.00047491697,5.996071338308319e-10
CytoSPACE dropout,T-cells,PVL,0.0019106407995296882,0.00045033044,3.6129998529108904e-05
CytoSPACE dropout,T-cells,Plasma cells,0.0,0.0,1.0
CytoSPACE dropout,T-cells,T-cells,0.0010288065843621398,0.0002588181,0.00011259829091414513
CytoSPACE dropout,T-cells,Abstained,0.0,0.0,1.0
CytoSPACE dropout,Abstained,B cells,-0.06951793062904174,0.0036966456,3.2566991222407235e-77
CytoSPACE dropout,Abstained,CD4 T cells,-0.06995884773662552,0.00373371,8.88381684175141e-77
CytoSPACE dropout,Abstained,CD8 T cells,-0.07128159905937682,0.0036876868,2.1788212803316896e-81
CytoSPACE dropout,Abstained,Endothelial cells,-0.062022339800117586,0.0036363995,7.573498948698916e-64
CytoSPACE dropout,Abstained,Epithelial cells,-0.007054673721340388,0.0013727748,4.6795200402511555e-07
CytoSPACE dropout,Abstained,Fibroblasts,-0.06922398589065255,0.0044819172,9.757146899641997e-53
CytoSPACE dropout,Abstained,Monocytes and Macrophages,-0.05085243974132864,0.0039479146,3.323932472681753e-37
