scenario,dataset_label,scrna_label,masked_label,method,display_method,cell_type,actual_cell_type,cell_label,feature,NES,P-value,ES,peak_rank,n_cells,n_close,n_far,n_genes_used
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE9,1.8390208814333464,0.000999000999000999,0.8132788469015859,2025,1499,764,735,324
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE10,0.09964673368523164,1.0,0.04418743301850467,1157,1499,764,735,317
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE9,1.789759349802827,0.000999000999000999,0.8072339873858861,1198,1804,902,902,111
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE10,0.00015016596289611577,1.0,6.80410970129372e-05,14802,1804,902,902,106
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,Mono/Mac,Macrophages,Mono/Mac,CE9,2.4266958160461005,0.000999000999000999,0.6813179136167928,1539,196,119,77,487
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,Mono/Mac,Macrophages,Mono/Mac,CE10,0.7796595995416692,0.9400599400599401,0.2197226312318751,1635,196,119,77,481
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE9,1.6357990700801222,0.000999000999000999,0.7082410242786009,2547,844,423,421,38
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE10,0.5228861381651282,0.968031968031968,0.23220368895277604,1103,844,423,421,36
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE9,,,,0,0,0,0,0
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE10,,,,0,0,0,0,0
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE9,1.8652238490432291,0.000999000999000999,0.7988079019374131,1787,1515,822,693,324
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE10,-3.7856218833540456e-13,1.0,-1.626650203423452e-13,14803,1515,822,693,317
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE9,1.753077589926127,0.000999000999000999,0.7868520010500965,1920,1824,913,911,111
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE10,0.07593192933550462,1.0,0.03434838486473511,1191,1824,913,911,106
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Macrophages,Mono/Mac,CE9,1.9447489359425556,0.000999000999000999,0.7255458556886646,2008,198,117,81,487
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Macrophages,Mono/Mac,CE10,0.7096126958207661,1.0,0.26527545112327866,3070,198,117,81,481
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE9,1.799855903574494,0.000999000999000999,0.7779053061067291,1844,853,437,416,38
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE10,0.03896405969746904,0.997002997002997,0.016853731698273453,1325,853,437,416,36
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE9,,,,0,0,0,0,0
