scenario,dataset_label,scrna_label,masked_label,method,display_method,cell_type,actual_cell_type,cell_label,feature,NES,P-value,ES,peak_rank,n_cells,n_close,n_far,n_genes_used
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE9,2.4771463564856306,0.000999000999000999,0.5882419133098371,464,2691,1350,1341,203
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE10,0.024095285214681704,1.0,0.005705208724292746,29,2691,1350,1341,207
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE9,1.8036231664641962,0.003996003996003996,0.4367031910943328,376,2691,1349,1342,92
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE10,7.793802478674573e-14,1.0,1.9040324872321435e-14,2000,2691,1349,1342,81
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE9,0.6583692215256565,0.8731268731268731,0.11193401928610414,108,2691,1346,1345,205
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE10,0.963284425627667,0.5424575424575424,0.15845854645180651,309,2691,1346,1345,305
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE9,1.6481032189444058,0.11288711288711288,0.3597668061323761,172,2691,1346,1345,30
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE10,0.008304934972769951,0.9920079920079921,0.00201816347128031,1996,2691,1346,1345,18
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE9,0.6400626295007843,0.8971028971028971,0.24685358713510486,454,2691,1358,1333,22
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_profile_mask_fibroblasts,TNBC BRCA,Wu et al.,Fibroblasts,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE10,1.4977752472184438,0.054945054945054944,0.6372178917209259,283,2691,1358,1333,11
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE9,0.6816174284561952,0.997002997002997,0.22051929772429885,414,7411,3759,3652,204
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE10,1.5701207293471506,0.000999000999000999,0.5065858422290792,617,7411,3759,3652,212
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE9,1.9016889152651932,0.000999000999000999,0.6149820564151818,492,7411,3828,3583,90
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE10,0.009643613121715047,1.0,0.0031413612565319438,1994,7411,3828,3583,90
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,CytoSPACE,CytoSPACE,Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE9,-4.807966659350576e-14,1.0,-1.309369279667294e-14,2000,7411,3708,3703,192
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,CytoSPACE,CytoSPACE,Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE10,2.334106809165943,0.000999000999000999,0.622957159310614,256,7411,3708,3703,323
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE9,1.9386903421477004,0.017982017982017984,0.6074566049119128,210,7411,3857,3554,30
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE10,0.0029896819900617233,0.997002997002997,0.0010080645161469615,1998,7411,3857,3554,16
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE9,,,,0,0,0,0,0
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE10,,,,0,0,0,0,0
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE9,0.4175030419261386,1.0,0.13295676868865527,596,8404,4208,4196,204
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE10,1.913232958026595,0.000999000999000999,0.6121585724104239,482,8404,4208,4196,212
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE9,1.9133072920702232,0.000999000999000999,0.6240579145933339,541,8404,4302,4102,90
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE10,0.006413527829366407,1.0,0.002094240837677494,1996,8404,4302,4102,90
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE9,,,,0,0,0,0,0
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE10,,,,0,0,0,0,0
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE9,1.7528832175335671,0.04195804195804196,0.545991217176412,522,8404,4342,4062,30
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE10,0.004614170933964122,0.999000999000999,0.0015120967742114078,1997,8404,4342,4062,16
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE9,,,,0,0,0,0,0
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages,CRC,Lee et al.,Mono/Mac,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE10,,,,0,0,0,0,0
