condition,source_type,receiver_type,coupling
Full reference,B cells,Endothelial cells,0.010435038212815991
Full reference,B cells,Epithelial cells,0.00102880658436214
Full reference,B cells,Fibroblasts,0.013129531648050169
Full reference,B cells,Monocytes and Macrophages,0.008818342151675485
Full reference,B cells,NK cells,0.019988242210464434
Full reference,B cells,PVL,0.010092102684695277
Full reference,B cells,Plasma cells,0.013423476386439346
Full reference,B cells,T-cells,0.003723300019596316
Full reference,B cells,Abstained,0.0
Full reference,CD4 T cells,B cells,0.02062512247697433
Full reference,CD4 T cells,CD4 T cells,0.020331177738585143
Full reference,CD4 T cells,CD8 T cells,0.019302371154223005
Full reference,CD4 T cells,Endothelial cells,0.010631001371742112
Full reference,CD4 T cells,Epithelial cells,0.0006858710562414267
Full reference,CD4 T cells,Fibroblasts,0.009798157946306096
Full reference,CD4 T cells,Monocytes and Macrophages,0.008230452674897118
Full reference,CD4 T cells,NK cells,0.017489711934156382
Full reference,CD4 T cells,PVL,0.010582010582010581
Full reference,CD4 T cells,Plasma cells,0.01116990005878895
Full reference,CD4 T cells,T-cells,0.0034293552812071325
Full reference,CD4 T cells,Abstained,0.0
Full reference,CD8 T cells,B cells,0.018763472467176173
Full reference,CD8 T cells,CD4 T cells,0.01788163825200862
Full reference,CD8 T cells,CD8 T cells,0.01675485008818342
Full reference,CD8 T cells,Endothelial cells,0.009210268469527728
Full reference,CD8 T cells,Epithelial cells,0.0007838526357044877
Full reference,CD8 T cells,Fibroblasts,0.011120909269057415
Full reference,CD8 T cells,Monocytes and Macrophages,0.006809719772682736
Full reference,CD8 T cells,NK cells,0.01974328826180678
Full reference,CD8 T cells,PVL,0.0077405447775818126
Full reference,CD8 T cells,Plasma cells,0.0102880658436214
Full reference,CD8 T cells,T-cells,0.003478346070938663
Full reference,CD8 T cells,Abstained,0.0
Full reference,Endothelial cells,B cells,0.0040662355477170285
Full reference,Endothelial cells,CD4 T cells,0.004556143445032333
Full reference,Endothelial cells,CD8 T cells,0.003674309229864785
Full reference,Endothelial cells,Endothelial cells,0.004409171075837741
Full reference,Endothelial cells,Epithelial cells,0.0004409171075837742
Full reference,Endothelial cells,Fibroblasts,0.005535959239662941
Full reference,Endothelial cells,Monocytes and Macrophages,0.0027434842249657062
Full reference,Endothelial cells,NK cells,0.004115226337448559
Full reference,Endothelial cells,PVL,0.004997060552616108
Full reference,Endothelial cells,Plasma cells,0.005437977660199882
Full reference,Endothelial cells,T-cells,0.0005878894767783658
Full reference,Endothelial cells,Abstained,0.0
Full reference,Epithelial cells,B cells,0.00024495394865765234
Full reference,Epithelial cells,CD4 T cells,4.899078973153047e-05
Full reference,Epithelial cells,CD8 T cells,0.00024495394865765234
Full reference,Epithelial cells,Endothelial cells,4.899078973153047e-05
Full reference,Epithelial cells,Epithelial cells,0.0
Full reference,Epithelial cells,Fibroblasts,0.0
Full reference,Epithelial cells,Monocytes and Macrophages,9.798157946306095e-05
Full reference,Epithelial cells,NK cells,0.00014697236919459142
Full reference,Epithelial cells,PVL,0.0
Full reference,Epithelial cells,Plasma cells,4.899078973153047e-05
Full reference,Epithelial cells,T-cells,0.0
Full reference,Epithelial cells,Abstained,0.0
