curve_order,precision,recall,threshold
0,0.07097457627118645,1.0,0.0831969787619414
1,0.07101218865924748,1.0,0.0987634670772107
2,0.07104984093319194,1.0,0.1100197735694386
3,0.07108753315649867,1.0,0.1314023815558518
4,0.07112526539278131,1.0,0.1323625988322939
5,0.07116303770578863,1.0,0.1370399889097829
6,0.07120085015940489,1.0,0.1452865075942069
7,0.07123870281765018,1.0,0.1488279688042275
8,0.07127659574468086,1.0,0.1531353713484143
9,0.07131452900478978,1.0,0.1536690161649498
10,0.07135250266240682,1.0,0.154043640845256
11,0.0713905167820991,1.0,0.1549799482835233
12,0.07142857142857142,1.0,0.1598147799429435
13,0.07146666666666666,1.0,0.1606504941467292
14,0.07150480256136606,1.0,0.1622410471100024
15,0.07154297917778964,1.0,0.1627056646748302
16,0.07158119658119658,1.0,0.1644856553622581
17,0.07161945483698556,1.0,0.1653632210996869
18,0.07165775401069518,1.0,0.1658453787639904
19,0.07169609416800428,1.0,0.1666004463476851
20,0.07173447537473233,1.0,0.1679239185783642
21,0.07177289769683985,1.0,0.1686701531630124
22,0.07181136120042872,1.0,0.1689879184374653
23,0.07184986595174263,1.0,0.1692920064198531
24,0.07188841201716738,1.0,0.1697057671553618
25,0.07192699946323135,1.0,0.1697943080854061
26,0.0719656283566058,1.0,0.1705822162343892
27,0.07200429876410532,1.0,0.1709837687435126
28,0.07204301075268817,1.0,0.1717660108573709
29,0.0720817643894567,1.0,0.1722709455971739
30,0.0721205597416577,1.0,0.1729657999898576
31,0.07215939687668282,1.0,0.1731926825995245
32,0.07219827586206896,1.0,0.1733224412815014
33,0.07223719676549865,1.0,0.1759721951665012
34,0.07227615965480043,1.0,0.1763673958632278
35,0.07231516459794927,1.0,0.1764955665682635
36,0.07235421166306695,1.0,0.1771010050460588
37,0.07239330091842247,1.0,0.1771052917730832
38,0.07243243243243243,1.0,0.1775609368719337
39,0.07247160627366143,1.0,0.1808942062434056
40,0.07251082251082251,1.0,0.1813788582028193
41,0.07255008121277748,1.0,0.1821961702370272
42,0.07258938244853738,1.0,0.1831170614127618
43,0.07262872628726287,1.0,0.1838710084088492
44,0.07266811279826464,1.0,0.1839356952070977
45,0.0727075420510038,1.0,0.1853678571634081
46,0.0727470141150923,1.0,0.1859684083181095
47,0.07278652906029331,1.0,0.18692157233984
48,0.07282608695652174,1.0,0.1869889240245211
49,0.07286568787384448,1.0,0.1874401416139121
50,0.07290533188248095,1.0,0.188386542621442
51,0.07294501905280348,1.0,0.1888441271329668
52,0.07298474945533769,1.0,0.1890739592895583
53,0.07302452316076294,1.0,0.1904374267364441
54,0.07306434023991276,1.0,0.1906962594190379
55,0.07310420076377523,1.0,0.1908986409020996
56,0.07314410480349345,1.0,0.1927686532351061
57,0.07318405243036592,1.0,0.1927960329202849
58,0.073224043715847,1.0,0.1932156653251998
59,0.07326407873154729,1.0,0.1936471736014213
60,0.07330415754923414,1.0,0.194779865891742
61,0.07334428024083196,1.0,0.1950100373529231
62,0.07338444687842278,1.0,0.1960641071126033
63,0.07342465753424658,1.0,0.1962247942806466
64,0.07346491228070176,1.0,0.1962456617402646
65,0.07350521119034559,1.0,0.1965524252255587
66,0.07354555433589462,1.0,0.1969553233313584
67,0.07358594179022515,1.0,0.197270106336444
68,0.07362637362637363,1.0,0.1974890502973351
69,0.07366684991753711,1.0,0.197571545185022
70,0.0737073707370737,1.0,0.1983353893972365
71,0.07374793615850303,1.0,0.1991108841714778
72,0.07378854625550661,1.0,0.1996864132402289
73,0.07382920110192838,1.0,0.2009051493957036
74,0.07386990077177508,1.0,0.2010215904023552
75,0.07391064533921676,1.0,0.2012106708366302
76,0.0739514348785872,1.0,0.2012972989471451
77,0.07399226946438432,1.0,0.201530241509914
78,0.07403314917127071,1.0,0.2018072155946253
79,0.07407407407407407,1.0,0.2023269492271223
80,0.07411504424778761,1.0,0.203033990692717
81,0.07415605976757056,1.0,0.2030946085068039
82,0.07419712070874862,1.0,0.2039178975764289
83,0.0742382271468144,1.0,0.2041869937331146
84,0.07427937915742794,1.0,0.2047810036907424
85,0.07432057681641709,1.0,0.2052656724902691
86,0.07436182019977802,1.0,0.2054580015086057
87,0.07440310938367574,1.0,0.2065800418610039
88,0.07444444444444444,1.0,0.2066001752424941
89,0.0744858254585881,1.0,0.2067209970498646
90,0.07452725250278086,1.0,0.2072019476526659
91,0.07456872565386756,1.0,0.2074543149868178
92,0.07461024498886415,1.0,0.2083498530133877
93,0.07465181058495822,1.0,0.2083787376099557
94,0.07469342251950947,1.0,0.208618476582205
95,0.0747350808700502,1.0,0.2088230003054894
96,0.07477678571428571,1.0,0.2092318767329616
97,0.07481853713009493,1.0,0.2094154635552506
98,0.07486033519553073,1.0,0.2095225270703119
99,0.07490217998882057,1.0,0.209657270645294
100,0.07494407158836688,1.0,0.2101854553590735
101,0.07498601007274762,1.0,0.2111241189075786
102,0.07502799552071669,1.0,0.2115204575786323
103,0.07507002801120448,1.0,0.2123458823004475
104,0.07511210762331838,1.0,0.2130748337450543
105,0.07515423443634324,1.0,0.2133255122639847
106,0.07519640852974187,1.0,0.2133518269399573
107,0.07523862998315553,1.0,0.2134848001992289
108,0.07528089887640449,1.0,0.2143013015458701
109,0.07532321528948847,1.0,0.2143831303839987
110,0.07536557930258718,1.0,0.214463661247109
111,0.07540799099606077,1.0,0.2151265950024871
112,0.07545045045045046,1.0,0.215176234594841
113,0.07549295774647888,1.0,0.2159342895444564
114,0.07553551296505073,1.0,0.2165659277875104
115,0.07557811618725324,1.0,0.2173562147195472
116,0.07562076749435666,1.0,0.2176695460192918
117,0.0756634669678148,1.0,0.2180264175749885
118,0.07570621468926554,1.0,0.21816132670196
119,0.07574901074053138,1.0,0.2189749216008722
120,0.0757918552036199,1.0,0.2191280438504187
121,0.07583474816072439,1.0,0.2192179692255933
122,0.07587768969422423,1.0,0.2195498631485627
123,0.07592067988668555,1.0,0.2197473715487971
124,0.07596371882086168,1.0,0.2198924494780193
125,0.0760068065796937,1.0,0.2213979772691412
126,0.07604994324631101,1.0,0.2216212506856397
127,0.0760931289040318,1.0,0.2217464794172833
128,0.07613636363636364,1.0,0.2220102113582212
129,0.07617964752700399,1.0,0.2222580465845883
130,0.07622298065984073,1.0,0.2223592549203211
131,0.07626636311895275,1.0,0.2226422524399691
132,0.07630979498861047,1.0,0.2227165072138946
133,0.07635327635327635,1.0,0.2229445725820452
134,0.07639680729760548,1.0,0.2230267499159909
135,0.0764403879064461,1.0,0.2231841245457427
136,0.07648401826484018,1.0,0.2233907343638342
137,0.07652769845802398,1.0,0.2238236920842625
138,0.07657142857142857,1.0,0.2238872897235177
139,0.07661520869068039,1.0,0.2253816157861399
140,0.07608695652173914,0.9925373134328358,0.2256125960233019
141,0.07613050944476245,0.9925373134328358,0.2256377066744861
142,0.07617411225658649,0.9925373134328358,0.2258481646872136
143,0.07621776504297995,0.9925373134328358,0.2281139151002602
144,0.07626146788990826,0.9925373134328358,0.2282410994008596
145,0.07630522088353414,0.9925373134328358,0.22833211099623
146,0.07634902411021814,0.9925373134328358,0.2291446749030139
147,0.07639287765651924,0.9925373134328358,0.2294503133760128
148,0.0764367816091954,0.9925373134328358,0.2295500205283445
149,0.07648073605520414,0.9925373134328358,0.2299406758283627
