group,spots,marker_score_median,marker_score_q25,marker_score_q75,residual_program_z_median,residual_candidate_rate,spot_candidate_rate
background,1912,0.191684315,0.148320645,0.24124875,-0.15618929937616877,0.0,0.017259414225941423
blank_outside_target,135,0.15922093,0.08591454500000001,0.311232865,-0.005074898673801,0.35555555555555557,1.0
hit_target,347,1.0836004,0.93734768,1.19844325,4.6144852818879984,1.0,1.0
missed_target,15,0.59934694,0.5786640999999999,0.6426404450000001,1.4275605380273015,0.0,0.0
