run_name,preferred_source,fallback_used,parse_status,notes
baseline_full_reference,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_full_reference/cytospace_output/fractional_abundances_by_spot.csv,False,parsed_fractional_abundances,filled 1 missing endpoint spots with zero fractions
baseline_immune_all_dropout,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/cytospace_output/fractional_abundances_by_spot.csv,False,parsed_fractional_abundances,filled 1 missing endpoint spots with zero fractions
baseline_nonimmune_all_dropout_control,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_nonimmune_all_dropout_control/cytospace_output/fractional_abundances_by_spot.csv,False,parsed_fractional_abundances,filled 1 missing endpoint spots with zero fractions
