curve_order,false_positive_rate,true_positive_rate,threshold
0,0.0,0.0,inf
1,0.0005701254275940707,0.0,0.7327204273062451
2,0.002280501710376283,0.0,0.7178051196747104
3,0.002280501710376283,0.007462686567164179,0.7124321957355342
4,0.005131128848346636,0.007462686567164179,0.6818894129839862
5,0.005131128848346636,0.03731343283582089,0.6713486556795338
6,0.007411630558722919,0.03731343283582089,0.6602225566959622
7,0.007411630558722919,0.05223880597014925,0.6573143262902964
8,0.00798175598631699,0.05223880597014925,0.6569385329651372
9,0.00798175598631699,0.08955223880597014,0.6454805947245642
10,0.009122006841505131,0.08955223880597014,0.6441094836247571
11,0.009122006841505131,0.09701492537313433,0.644081933539772
12,0.010262257696693273,0.09701492537313433,0.6411100535235876
13,0.010262257696693273,0.1044776119402985,0.6403685858789566
14,0.011972633979475485,0.1044776119402985,0.6368052628408183
15,0.011972633979475485,0.12686567164179105,0.6364605927655683
16,0.012542759407069556,0.12686567164179105,0.635796020411356
17,0.012542759407069556,0.13432835820895522,0.6357540187402266
18,0.013112884834663626,0.13432835820895522,0.6355776661159762
19,0.013112884834663626,0.1417910447761194,0.634118633024052
20,0.013683010262257697,0.1417910447761194,0.6340227651203224
21,0.013683010262257697,0.14925373134328357,0.6335235380451149
22,0.014823261117445839,0.14925373134328357,0.6326566603453199
23,0.014823261117445839,0.17164179104477612,0.6314352379261783
24,0.01539338654503991,0.17164179104477612,0.6287392901962149
25,0.01539338654503991,0.1791044776119403,0.6272941324138364
26,0.01596351197263398,0.1791044776119403,0.6265070665624896
27,0.01596351197263398,0.20149253731343283,0.6234370845710978
28,0.01653363740022805,0.20149253731343283,0.6233256814674821
29,0.01653363740022805,0.208955223880597,0.6233151195998355
30,0.018814139110604332,0.208955223880597,0.6198877220515854
31,0.018814139110604332,0.21641791044776118,0.6173666390323079
32,0.023375142531356898,0.21641791044776118,0.613446189758389
33,0.023375142531356898,0.22388059701492538,0.6131313752148696
34,0.02451539338654504,0.22388059701492538,0.611743880039928
35,0.02451539338654504,0.23134328358208955,0.611382664321617
36,0.02565564424173318,0.23134328358208955,0.6097649370995897
37,0.02565564424173318,0.23880597014925373,0.6079033459284184
38,0.027936145952109463,0.23880597014925373,0.6042124643723936
39,0.027936145952109463,0.2462686567164179,0.6034637786068642
40,0.029076396807297605,0.2462686567164179,0.6032449893654269
41,0.029076396807297605,0.2537313432835821,0.6015063820280916
42,0.030216647662485746,0.2537313432835821,0.601084869118084
43,0.030216647662485746,0.26119402985074625,0.5992165209685236
44,0.03078677309007982,0.26119402985074625,0.5988300988242945
45,0.03078677309007982,0.26865671641791045,0.59781472898914
46,0.033637400228050174,0.26865671641791045,0.5957612713776221
47,0.033637400228050174,0.27611940298507465,0.5950410920006314
48,0.03420752565564424,0.27611940298507465,0.594194382907765
49,0.03420752565564424,0.29850746268656714,0.5918779112189203
50,0.03477765108323831,0.29850746268656714,0.5916329034655898
51,0.03477765108323831,0.30597014925373134,0.5913926139424992
52,0.046180159635119726,0.30597014925373134,0.5757269254029989
53,0.046180159635119726,0.31343283582089554,0.5753361366624882
54,0.046750285062713795,0.31343283582089554,0.5738002036198663
55,0.046750285062713795,0.3208955223880597,0.5730943468174247
56,0.04789053591790194,0.3208955223880597,0.5711524745258011
57,0.04789053591790194,0.3358208955223881,0.5705570382918356
58,0.052451539338654506,0.3358208955223881,0.5672729531867788
59,0.052451539338654506,0.34328358208955223,0.5667326231730296
60,0.053021664766248575,0.34328358208955223,0.5662378570498798
61,0.053021664766248575,0.35074626865671643,0.5649088290591461
62,0.053591790193842644,0.35074626865671643,0.5647919373642463
63,0.053591790193842644,0.3582089552238806,0.5641237523493106
64,0.056442417331812995,0.3582089552238806,0.5621630684225343
65,0.056442417331812995,0.3656716417910448,0.5604444180550128
66,0.05815279361459521,0.3656716417910448,0.5597286301967833
67,0.05815279361459521,0.3805970149253731,0.5590185900424907
68,0.05872291904218928,0.3805970149253731,0.5585623328545745
69,0.05872291904218928,0.3880597014925373,0.5576633100721717
70,0.062143671607753706,0.3880597014925373,0.5557942115389911
71,0.062143671607753706,0.39552238805970147,0.5551923681304435
72,0.06499429874572406,0.39552238805970147,0.5524303794712213
73,0.06499429874572406,0.40298507462686567,0.5522920484469191
74,0.06670467502850627,0.40298507462686567,0.5514412687252519
75,0.06670467502850627,0.41044776119402987,0.5512967207921756
76,0.06784492588369441,0.41044776119402987,0.5508243260764334
77,0.06784492588369441,0.417910447761194,0.550587695848028
78,0.07411630558722919,0.417910447761194,0.5477607779478426
79,0.07411630558722919,0.4253731343283582,0.5474748946573759
80,0.07525655644241733,0.4253731343283582,0.546034432953314
81,0.07525655644241733,0.43283582089552236,0.5455532793126859
82,0.07639680729760548,0.43283582089552236,0.5454402951205354
83,0.07639680729760548,0.44029850746268656,0.5451287932988513
84,0.07810718358038768,0.44029850746268656,0.5435400671981204
85,0.07810718358038768,0.4552238805970149,0.5429086298513476
86,0.07924743443557583,0.4552238805970149,0.5427759394685787
87,0.07924743443557583,0.4701492537313433,0.5417418920247886
88,0.08038768529076397,0.4701492537313433,0.5401834197261781
89,0.08038768529076397,0.47761194029850745,0.5400988414451638
