umap_1,umap_2,subcluster
-10.045046,-4.468532,3
-5.2384987,-5.2002883,1
-1.8387582,-3.3491943,2
-8.90271,-5.0652175,3
-5.099045,-3.284968,1
-5.135498,-1.7598237,1
5.552341,3.9183633,0
-7.876261,-4.5178194,3
2.0368736,-0.33057368,0
2.0252185,0.2556631,0
3.181418,1.1023705,0
-0.15105158,-1.2696447,2
-3.284744,-3.620413,1
0.049516197,1.2847669,0
-7.316114,-5.425991,3
-0.4855641,-2.07179,2
3.0432222,2.4515502,0
-2.8855948,-0.42573842,2
-3.0736065,-2.3847253,2
-2.0843484,0.13851184,2
-6.08409,-4.359483,1
-2.2664118,-0.394654,2
-1.4354278,-2.1097353,2
-10.59327,-4.6539054,3
-3.3379557,-0.66782653,2
-1.9040371,-0.5526581,2
-6.4760923,-5.5859914,1
3.2528226,2.5937202,0
-0.18822306,-2.5893555,2
2.1584232,2.1018631,0
4.541465,3.4280438,0
4.7380204,3.2583516,0
-6.108902,-2.9511213,1
5.5551953,3.9115226,0
-2.732936,-4.6039524,1
-2.7618957,-4.6875887,1
-7.668082,-5.2171445,3
4.2818956,3.070764,0
1.9032543,-0.5908418,0
1.6016465,0.7843471,0
-0.08402627,0.25069275,0
-2.3842869,-4.1113787,2
-4.539885,-5.3052044,1
2.263302,0.5139466,0
3.5022044,2.9744492,0
-4.944673,-1.3520192,1
1.5572954,-0.6590922,0
0.52774227,1.6545988,0
-4.2166867,-1.669376,2
3.0083687,3.395318,0
-5.8026667,-5.637698,1
3.5165668,2.0827978,0
-4.0757027,-2.6813538,1
-7.7859373,-4.1068807,3
0.8420126,0.8252381,0
-0.3407758,-0.38645402,0
-1.3386301,-0.73460513,2
-2.3672595,-1.769035,2
-2.4484851,-2.4449584,2
-0.052399285,-1.1216173,0
0.35915256,1.0742625,0
-2.8128278,-3.1592276,2
-4.3635025,-1.8325684,1
-1.299407,-0.19108719,2
-6.3101277,-5.561008,1
-1.1378373,0.28979245,2
-2.67988,-2.6635711,2
-8.577993,-4.2853823,3
-2.9251344,-1.504379,2
3.640726,2.8413453,0
-5.102719,-4.3269625,1
2.485977,0.3692824,0
-9.458304,-6.089419,3
-3.869284,-2.6564252,2
4.349655,3.297097,0
-3.4735422,-2.2555876,2
-6.445804,-3.2313285,1
-10.168464,-5.870529,3
-10.314362,-5.7447867,3
-3.4351363,-2.7851841,2
-13.113618,-5.5412316,3
-0.35334226,0.10812057,0
0.08907501,-0.9888224,0
5.407791,4.089754,0
-6.377098,-5.6723733,1
-1.9547918,-1.1776135,2
-3.292023,-0.66823816,2
1.5128264,-0.99880445,0
-0.97283405,-1.3588518,2
-0.36807317,0.698661,0
-4.4438043,-1.997504,1
-0.6014388,-1.9993216,2
-3.8605332,-2.8165908,1
-10.587356,-5.0609293,3
-2.0092866,-3.6071937,2
5.821872,4.3997593,0
4.3193126,3.813648,0
0.76862866,0.7138585,0
-3.820415,-5.732015,1
-4.272326,-4.681537,1
-6.5686197,-4.9923124,1
-8.567649,-4.7140255,3
-3.5849037,-2.4864156,1
-1.0554228,-0.9866741,2
-1.9452202,-0.57827944,2
-2.8707702,-2.562055,2
-8.527966,-4.412436,3
-3.4503326,-2.1398647,2
-4.05988,-2.5128882,1
-1.6966212,-2.0316079,2
0.387771,0.7280917,0
-7.4663434,-5.636667,3
0.1277712,0.24117932,0
0.20498341,0.40046296,0
-9.908473,-4.6787853,3
-3.292086,-0.44541192,2
-3.3481867,-0.28258616,2
-5.798531,-4.0530043,1
-6.9155965,-2.992649,1
-9.112342,-4.6157093,3
-6.1183314,-4.8342137,1
-11.071955,-5.100278,3
2.2041705,0.95627004,0
-1.3819084,-1.3152635,2
-0.07452218,-0.48239487,0
2.3872097,2.596076,0
-7.5668035,-5.605251,3
-8.581239,-3.743728,3
1.8500924,2.6380835,0
2.8317044,2.5094783,0
-6.0054016,-2.3010516,1
3.166665,1.1148323,0
0.42833313,1.2219993,0
-5.0617943,-3.35052,1
-4.6543813,-1.8334117,1
-0.5672082,-0.57602453,0
4.21888,2.0647345,0
-7.5992804,-3.205115,3
-6.935597,-5.804298,3
-0.78802544,-0.4754984,2
-0.7520116,-0.5996263,2
-10.538745,-4.883742,3
-7.1698637,-2.8773618,1
1.9770372,0.9736119,0
-12.114588,-5.3706703,3
-5.3608513,-3.6992483,1
1.2397602,2.0115383,0
-7.0433207,-4.3712387,1
-4.9693317,-3.465378,1
-5.7378473,-4.2037163,1
-4.4706936,-3.7098122,1
-1.5561686,-0.22399513,2
-3.885293,-1.4938318,2
1.3962445,2.2075958,0
-7.2706857,-4.068783,1
2.1896665,1.707182,0
-4.108281,-3.419334,1
-2.2338703,-3.95033,2
-0.57175213,-1.8057026,2
-2.422975,-2.7367358,2
-5.7121253,-1.9878987,1
-7.26169,-5.1248455,3
-2.544228,-0.40618536,2
-1.532269,-0.044204544,2
-3.5217826,-4.2642355,1
-3.5371892,-1.631338,2
-1.1236087,-2.696014,2
2.2154636,1.6582342,0
-2.665011,-1.7767074,2
0.90804166,1.5064611,0
4.31726,3.600678,0
1.3236102,0.3019666,0
0.5123545,1.0326144,0
-5.2384067,-5.305187,1
-4.4928555,-1.9108586,1
-1.3686368,-2.3489382,2
2.0536594,2.6016014,0
-8.616113,-4.770356,3
-3.4901104,-3.2245398,2
1.0808562,-0.5009628,0
-2.8258305,0.051887605,2
-0.17987196,-1.083967,2
-3.0864863,-3.784994,1
-8.418772,-5.8366776,3
-1.1672572,-1.0824429,2
-8.467153,-5.2293572,3
-12.814815,-5.6489925,3
-7.570491,-4.545984,3
-10.173911,-4.914329,3
-1.7706317,-2.5695283,2
-6.5746474,-2.4404864,1
-6.48833,-5.999447,3
-3.5822306,-2.1654708,2
2.3599532,-0.5829888,0
