umap_1,umap_2,subcluster
15.724439,-9.885639,0
12.042545,-9.052503,0
13.214795,-14.314401,1
12.048408,-8.247368,2
11.123657,-15.961135,3
13.378689,-13.37294,1
10.610192,-15.403076,3
5.7746563,-15.376163,3
12.147333,-14.812073,1
12.565857,-5.9494767,2
12.18277,-7.4112744,2
13.520936,-4.7718415,2
15.245717,-13.840191,1
13.594868,-9.440805,0
14.216451,-14.387246,1
14.965686,-8.900883,0
12.95904,-5.808256,2
13.220132,-4.402084,2
12.21356,-15.167165,3
13.925066,-14.054575,1
13.192155,-12.804125,1
13.796832,-8.43391,2
8.092379,-16.455467,3
11.057306,-14.504528,3
16.240307,-12.549676,1
11.984449,-5.1681013,2
10.677938,-15.905315,3
15.796125,-7.34291,2
15.339293,-9.06964,0
10.7736845,-16.067081,3
14.050822,-10.451732,0
11.088388,-14.236648,3
14.859989,-6.292545,2
12.112808,-11.035629,1
16.042572,-8.813582,0
11.271339,-15.651611,3
15.539927,-6.8498363,2
9.350687,-16.41308,3
15.662367,-9.368225,0
12.782763,-6.325898,2
11.294651,-15.138946,3
11.679907,-11.7294,1
15.029673,-9.777972,0
10.255742,-14.624536,3
14.476685,-12.825497,1
14.186169,-5.8387313,2
14.552928,-9.345579,0
12.192718,-4.327256,2
14.966162,-9.62935,0
14.695509,-14.177129,1
13.072354,-11.162923,1
15.338877,-10.979721,0
13.107506,-6.276073,2
12.508321,-5.931148,2
13.738514,-5.2992554,2
5.3219357,-15.032137,3
15.445128,-9.692561,0
10.997016,-12.845281,1
14.5259495,-14.114205,1
12.641034,-5.6510534,2
15.140419,-8.873712,0
9.188702,-16.310493,3
10.967325,-11.894429,1
14.453681,-12.051712,1
13.3615465,-14.982099,1
11.882648,-14.485882,1
13.948124,-10.90024,0
14.418411,-6.3255005,2
14.755208,-5.659421,2
13.951712,-7.5729704,2
13.743631,-14.391672,1
13.714202,-15.032593,1
14.367072,-13.588919,1
12.226356,-7.7575455,2
13.289461,-7.766247,2
13.523447,-5.782355,2
13.3037615,-9.733089,0
12.646836,-14.00146,1
10.710136,-14.106642,3
7.974791,-15.820438,3
14.280925,-5.9646325,2
13.226098,-13.03308,1
15.647927,-10.270938,0
14.868873,-11.488047,0
11.836473,-11.9322405,1
14.808886,-13.185582,1
9.45095,-13.592715,3
13.567144,-14.700747,1
5.935131,-15.747208,3
14.983979,-7.430938,2
16.003435,-11.028066,0
8.74166,-16.010862,3
10.992588,-12.668698,1
14.530115,-7.2310786,2
12.557572,-12.563942,1
13.8341465,-5.923248,2
15.417415,-7.064978,2
7.9858704,-16.400621,3
11.577899,-10.950211,1
13.296095,-11.461254,1
11.16283,-15.625223,3
13.495036,-4.7369633,2
11.59529,-13.397242,1
16.039633,-12.795936,1
14.167524,-13.990596,1
15.113453,-9.249061,0
