profile_mask_sample,raw_sample,masked_target_type,spot_id,masked_support,masked_support_norm,baseline_target_like_score,route2_target_like_score,rank,baseline_low_score_hit_weight,baseline_running_es,route2_low_score_hit_weight,route2_running_es
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1494_111614,0.0,0.0,0.07061855670103093,0.07061855670103093,560,0.1805031446540881,0.026187032220936796,0.2156126482213439,0.038756579255365076
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1495_117042,0.0,0.0,0.11536281179138322,0.11536281179138322,561,0.0,0.025753173919058188,0.0,0.03832272095348647
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1498_111109,0.0,0.0,0.07061855670103093,0.07061855670103093,562,0.1805031446540881,0.026102443495413293,0.2156126482213439,0.03882431602581648
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1500_125421,0.0,0.0,0.07923930269413629,0.09258632362897765,563,0.0,0.025668585193534686,0.0,0.03839045772393787
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1506_124734,0.0,0.0,0.09258632362897765,0.09258632362897765,564,0.0,0.025234726891656078,0.0,0.03795659942205926
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1509_111185,0.0,0.0,0.09258632362897765,0.09258632362897765,565,0.0,0.02480086858977747,0.0,0.037522741120180655
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1517_117019,0.0,0.0,0.11536281179138322,0.11536281179138322,566,0.0,0.024367010287898862,0.0,0.03708888281830205
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1519_111613,0.0,0.0,0.07061855670103093,0.07061855670103093,567,0.1805031446540881,0.024716279864253968,0.2156126482213439,0.03759047789063206
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1521_111112,0.0,0.0,0.07061855670103093,0.07061855670103093,568,0.1805031446540881,0.025065549440609073,0.2156126482213439,0.03809207296296207
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1522_124721,0.0,0.0,0.07923930269413629,0.07923930269413629,569,0.0,0.024631691138730465,0.0,0.03765821466108346
