assigned_type,spots,fraction
Astrocyte,130,0.2697095435684647
Excitatory neuron,92,0.1908713692946058
Inhibitory neuron,237,0.491701244813278
Neuroblast,3,0.006224066390041493
Microglia,3,0.006224066390041493
Oligodendrocyte/OPC,17,0.035269709543568464
