n_markers,quantile,region_spots,overlap,precision,recall,median_score_region,marker_genes
25,0.9,241,241,0.4781746031746032,1.0,1.2280207872390747,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
30,0.75,603,388,0.7698412698412699,0.6434494195688225,0.8098715543746948,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
30,0.8,482,375,0.7440476190476191,0.7780082987551867,0.9728740453720093,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
30,0.82,434,370,0.7341269841269841,0.8525345622119815,1.0054171085357666,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
30,0.85,362,347,0.6884920634920635,0.9585635359116023,1.0750064849853516,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
30,0.88,289,289,0.5734126984126984,1.0,1.1320514678955078,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
30,0.9,241,241,0.4781746031746032,1.0,1.1616978645324707,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
40,0.75,603,388,0.7698412698412699,0.6434494195688225,0.655439019203186,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
40,0.8,482,375,0.7440476190476191,0.7780082987551867,0.798405110836029,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
40,0.82,434,369,0.7321428571428571,0.8502304147465438,0.8366034626960754,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
40,0.85,362,347,0.6884920634920635,0.9585635359116023,0.8896580934524536,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
40,0.88,289,289,0.5734126984126984,1.0,0.9334103465080261,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
40,0.9,241,241,0.4781746031746032,1.0,0.9615150690078735,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
50,0.75,603,389,0.7718253968253969,0.6451077943615257,0.6153440475463867,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
50,0.8,482,372,0.7380952380952381,0.7717842323651453,0.7479624152183533,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
50,0.82,434,364,0.7222222222222222,0.8387096774193549,0.7749185562133789,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
50,0.85,362,347,0.6884920634920635,0.9585635359116023,0.8168738484382629,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
50,0.88,289,289,0.5734126984126984,1.0,0.8609325885772705,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
50,0.9,241,241,0.4781746031746032,1.0,0.8880765438079834,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
75,0.75,603,384,0.7619047619047619,0.6368159203980099,0.5330125093460083,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
75,0.8,482,370,0.7341269841269841,0.7676348547717843,0.640457272529602,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
75,0.82,434,364,0.7222222222222222,0.8387096774193549,0.6747221946716309,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
75,0.85,362,345,0.6845238095238095,0.9530386740331491,0.706656813621521,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
75,0.88,289,289,0.5734126984126984,1.0,0.7354570627212524,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
75,0.9,241,241,0.4781746031746032,1.0,0.7575503587722778,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
100,0.75,603,381,0.7559523809523809,0.6318407960199005,0.543059766292572,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
100,0.8,482,374,0.7420634920634921,0.7759336099585062,0.6467887163162231,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
100,0.82,434,369,0.7321428571428571,0.8502304147465438,0.6741933822631836,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
100,0.85,362,344,0.6825396825396826,0.9502762430939227,0.7012637853622437,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
100,0.88,289,288,0.5714285714285714,0.9965397923875432,0.7357882857322693,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
100,0.9,241,241,0.4781746031746032,1.0,0.7517994046211243,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
