assigned_type,spots,fraction
Inhibitory neuron,237,0.491701244813278
Astrocyte,130,0.2697095435684647
Excitatory neuron,92,0.1908713692946058
Oligodendrocyte/OPC,17,0.0352697095435684
Neuroblast,3,0.0062240663900414
Microglia,3,0.0062240663900414
