marker_quantile_cut,region_spots,blank_overlap,blank_precision_vs_region,blank_recall_vs_region
0.7,723,395,0.7837301587301587,0.5463347164591977
0.75,603,388,0.7698412698412699,0.6434494195688225
0.8,482,375,0.7440476190476191,0.7780082987551867
0.82,434,370,0.7341269841269841,0.8525345622119815
0.85,362,347,0.6884920634920635,0.9585635359116023
0.88,289,289,0.5734126984126984,1.0
0.9,241,241,0.4781746031746032,1.0
0.92,193,193,0.38293650793650796,1.0
0.95,121,121,0.2400793650793651,1.0
