pair_id,source_sample,sample,target_type,top_region,st_spots,target_region_spots,stage3b_blank_spots,overlap_spots,recall,precision,f1,jaccard,target_marker_percentile_median,blank_marker_percentile_median,blank_marker_percentile_mean,marker_genes,sc_cells,moran_i,candidate_score,selection_score,recommendation,validation_source,passes_strict_full_validation
mouse_embryo_real,mouse_embryo_real,mouse_embryo_real_sc_missing_endoderm_gut,Endoderm/Gut,top15,6434,965,832,702,0.7274611398963731,0.84375,0.7813021702838064,0.6410958904109589,0.9250854833695992,0.932312713708424,0.8275498179742234,30,1672,0.9229969884038586,4.549847756962443,0.8501028704574629,,full_matrix_lowres_rerun,True
mouse_embryo_real,mouse_embryo_real,mouse_embryo_real_sc_missing_erythroid,Erythroid,top15,6434,965,812,686,0.7108808290155441,0.8448275862068966,0.7720877884074283,0.6287809349220899,0.9250854833695992,0.9316910164749768,0.8425501989890529,30,1027,0.9453701106842316,4.6303192419539085,0.8460862690162905,,full_matrix_lowres_rerun,True
brca_tnbc_fresh_frozen,cytospace_fig2d_tme_brca_tnbc_fresh_frozen,cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells,Plasma cells,top15,1211,182,97,91,0.5,0.9381443298969072,0.6523297491039427,0.4840425531914893,0.9252683732452518,0.9512799339388934,0.9401619178152162,30,400,0.6124191453644806,2.907007214643834,0.8338624890394749,high_confidence_main_panel,full_matrix_original_fig2c_fig2d,True
crc_fresh_frozen,cytospace_fig2d_tme_crc_fresh_frozen,cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells,B cells,top15,3138,471,298,234,0.4968152866242038,0.785234899328859,0.6085825747724317,0.4373831775700935,0.9251115360101976,0.946940726577438,0.8463904252270287,30,400,0.8459866879380963,3.92039644156253,0.7778123270521268,high_confidence_main_panel,full_matrix_original_fig2c_fig2d,True
brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells,Plasma cells,top15,2518,378,337,231,0.6111111111111112,0.685459940652819,0.6461538461538462,0.4772727272727273,0.9251389992057188,0.9058776806989676,0.8776583082518035,30,226,0.696514231745886,2.831043080674228,0.7550398292858514,high_confidence_main_panel,full_matrix_original_fig2c_fig2d,True
brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells,Epithelial cells,top15,2518,378,204,159,0.4206349206349206,0.7794117647058824,0.5463917525773196,0.375886524822695,0.9251389992057188,0.92077045274027,0.896743447180302,30,400,0.8047800700846663,3.5650496853947526,0.7462610289018969,high_confidence_main_panel,full_matrix_original_fig2c_fig2d,True
