pair_id,source_sample,sample,target_type,storage_group,stage3b_group,marker_genes_list,st_spots,target_region_spots,stage3b_blank_spots,overlap_spots,recall,precision,blank_marker_percentile_median,selection_score,validation_source
mouse_embryo_real,mouse_embryo_real,mouse_embryo_real_sc_missing_endoderm_gut,Endoderm/Gut,low_resolution_experiments,stage3b_realdata_reference_dropout_lowres_full,Cubn;Apoa4;Apob;Amn;Afp;Ctsh;Spink1;Apom;Apoa1;Ttr;Rbp4;Folr1;Dab2;Npl;Pcbd1;Tmem37;Ctsc;Atp1b1;Fmr1nb;Lgmn;Col4a2;Cldn7;Stx7;Rab4a;Cldn6;Cotl1;Col4a1;Apoc1;Pth1r;Lxn,6434,965,832,702,0.7274611398963731,0.84375,0.932312713708424,0.8501028704574629,full_matrix_lowres_rerun
mouse_embryo_real,mouse_embryo_real,mouse_embryo_real_sc_missing_erythroid,Erythroid,low_resolution_experiments,stage3b_realdata_reference_dropout_lowres_full,Hba-a2;Cited4;Hba-x;Hbb-y;Hbb-bh1;Blvrb;Smim1;Lmo2;Slc39a8;Cpox;Zfpm1;Car2;Alad;Hmbs;Psmb10;Gclm;Prdx3;Chchd10;F2r;Urod;Tmem14c;Ddah1;Rbm38;Ncoa4;Mns1;Ifrd2;Cmas;Myc;Asns;Baz1a,6434,965,812,686,0.7108808290155441,0.8448275862068966,0.9316910164749768,0.8460862690162905,full_matrix_lowres_rerun
brca_tnbc_fresh_frozen,cytospace_fig2d_tme_brca_tnbc_fresh_frozen,cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells,Plasma cells,cytospace_fig2d_tme,stage3b_realdata_reference_dropout,IGHG1;MZB1;JCHAIN;IGHG4;DERL3;IGKC;IGKV1-9;IGKV3-15;IGKV3-20;IGKV1-5;SSR4;XBP1;IGKV3-11;IGKV4-1;IGLV3-1;IGLL5;CD79A;FKBP11;SEC11C;IGLV1-40;IGHV3-30;HERPUD1;ITM2C;IGHG3;MT-ND4L;IGHV3-23;IGLV3-25;HSP90B1;IGLC2;PRDX4,1211,182,97,91,0.5,0.9381443298969072,0.9512799339388934,0.8338624890394749,full_matrix_original_fig2c_fig2d
crc_fresh_frozen,cytospace_fig2d_tme_crc_fresh_frozen,cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells,B cells,cytospace_fig2d_tme,stage3b_realdata_reference_dropout,JCHAIN;CD79A;IGKC;IGHA1;IGLC2;MZB1;IGHA2;IGLC3;HERPUD1;CD74;SSR4;TSC22D3;IGHG1;EZR;FKBP11;SEC11C;IGHG3;HLA-DRA;SERP1;YPEL5;IGHG4;IGHM;HSP90B1;FKBP2;XBP1;SPCS2;SPCS1;ISG20;SSR3;HLA-DPA1,3138,471,298,234,0.4968152866242038,0.785234899328859,0.946940726577438,0.7778123270521268,full_matrix_original_fig2c_fig2d
brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells,Plasma cells,cytospace_fig2d_tme,stage3b_realdata_reference_dropout,IGHG1;IGHG3;MZB1;JCHAIN;DERL3;IGHG4;IGHG2;SSR4;IGKC;FKBP11;XBP1;SEC11C;ITM2C;CD79A;HERPUD1;CYBA;PRDX4;HSP90B1;CD74;SSR3;SPCS1;PIM2;GSTP1;SPCS2;SDF2L1;ISG20;CD27;IGHA1;TMEM59;ERLEC1,2518,378,337,231,0.6111111111111112,0.685459940652819,0.9058776806989676,0.7550398292858514,full_matrix_original_fig2c_fig2d
brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells,Epithelial cells,cytospace_fig2d_tme,stage3b_realdata_reference_dropout,KRT7;KRT18;CD24;KRT8;FXYD3;CLDN4;MGST1;TACSTD2;SPINT2;AZGP1;CALML5;SLPI;ELF3;MUCL1;PERP;TM4SF1;CD9;MIF;TXN;ERBB2;DBI;PPDPF;DSTN;MIEN1;PABPC1;CHCHD2;GPX4;XBP1;SAT1;SERF2,2518,378,204,159,0.4206349206349206,0.7794117647058824,0.92077045274027,0.7462610289018969,full_matrix_original_fig2c_fig2d
