cell_type,n_cells,fraction
B cells,400,0.16570008285004142
CD8 T cells,400,0.16570008285004142
Monocytes and Macrophages,400,0.16570008285004142
NK cells,400,0.16570008285004142
CD4 T cells,400,0.16570008285004142
Plasma cells,226,0.0936205468102734
T-cells,188,0.07787903893951947
