group,count,mean,median,std,min,max
Marker-defined target region,3339,0.9251112439934976,0.9250854833695991,0.043321323630499696,0.850170966739198,1.0
Stage3B blank region,2580,0.8506971999941996,0.9311566896940311,0.23897321335877938,0.00015542430836182778,1.0
