fov,raw_x_min,raw_x_max,raw_y_min,raw_y_max,image_x_min,image_x_max,image_y_min,image_y_max,adjusted
FOV1,4268.04,7099.96,5625.5,8768.5,177.55046399999998,295.358336,234.02079999999998,364.76959999999997,False
FOV2,10634.04,13465.96,8200.5,11343.5,442.37606400000004,560.1839359999999,341.14079999999996,471.8896,False
