cell_type,n_cells,fraction
B cells,400,0.09965122072745392
CD8 T cells,400,0.09965122072745392
Monocytes and Macrophages,400,0.09965122072745392
NK cells,400,0.09965122072745392
Endothelial cells,400,0.09965122072745392
CD4 T cells,400,0.09965122072745392
Epithelial cells,400,0.09965122072745392
PVL,400,0.09965122072745392
Fibroblasts,400,0.09965122072745392
Plasma cells,226,0.05630293971101146
T-cells,188,0.046836073741903336
