,Astrocyte,Excitatory neuron,Inhibitory neuron,Neuroblast,Microglia,Endothelial,Oligodendrocyte/OPC
Astrocyte,,0.6954778164717519,0.7131946763962411,0.741550027790518,0.5585488484981223,0.5925341620976935,0.6471583273407715
Excitatory neuron,0.6954778164717519,,0.9688232375782837,0.8666202967145318,0.5641783843655084,0.5488666384607763,0.6799997788865244
Inhibitory neuron,0.7131946763962411,0.9688232375782837,,0.8783837928138771,0.5768855607344356,0.5608677141947852,0.6927754360337363
Neuroblast,0.741550027790518,0.8666202967145318,0.8783837928138771,,0.6260666350972248,0.6068504510587094,0.721777853487969
Microglia,0.5585488484981223,0.5641783843655084,0.5768855607344356,0.6260666350972248,,0.5844668930883208,0.5816362928035059
Endothelial,0.5925341620976935,0.5488666384607763,0.5608677141947852,0.6068504510587094,0.5844668930883208,,0.5631377799513748
Oligodendrocyte/OPC,0.6471583273407715,0.6799997788865244,0.6927754360337363,0.721777853487969,0.5816362928035059,0.5631377799513748,
