sample,source_sample,target_type,scenario_label,method,metric,metric_label,direction,low_support_quantile,raw_low_support_mean,value,meaning
human_breast_cancer_wta_120_real_profile_mask_endothelial_cell,human_breast_cancer_wta_120_real,Endothelial cell,"BRCA WTA120
Endothelial cell",CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.1703765428015287,0.8544258735793708,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_breast_cancer_wta_120_real_profile_mask_endothelial_cell,human_breast_cancer_wta_120_real,Endothelial cell,"BRCA WTA120
Endothelial cell",SVTuner + CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.1594559971059588,0.8624734379709396,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_breast_cancer_wta_120_real_profile_mask_endothelial_cell,human_breast_cancer_wta_120_real,Endothelial cell,"BRCA WTA120
Endothelial cell",Tangram,low_support_suppression_score,Low-support suppression score,higher,0.2,0.153361874925514,0.8670305666767263,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_breast_cancer_wta_120_real_profile_mask_endothelial_cell,human_breast_cancer_wta_120_real,Endothelial cell,"BRCA WTA120
Endothelial cell",CellTrek,low_support_suppression_score,Low-support suppression score,higher,0.2,0.0708935651450487,0.9337996160846792,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_cervical_cancer_real_profile_mask_epithelial_cell,human_cervical_cancer_real,Epithelial cell,"Cervical
Epithelial cell",CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.1137479835852562,0.8978691901025122,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_cervical_cancer_real_profile_mask_epithelial_cell,human_cervical_cancer_real,Epithelial cell,"Cervical
Epithelial cell",SVTuner + CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.1093979032509636,0.9013898413451245,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_cervical_cancer_real_profile_mask_epithelial_cell,human_cervical_cancer_real,Epithelial cell,"Cervical
Epithelial cell",Tangram,low_support_suppression_score,Low-support suppression score,higher,0.2,0.121235606925513,0.8918732100758487,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_cervical_cancer_real_profile_mask_epithelial_cell,human_cervical_cancer_real,Epithelial cell,"Cervical
Epithelial cell",CellTrek,low_support_suppression_score,Low-support suppression score,higher,0.2,0.0590145550077823,0.9442740850645356,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_heart_ff_real_profile_mask_endothelial_cell,human_heart_ff_real,Endothelial cell,"Heart FF
Endothelial cell",CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.1252243554116456,0.8887116557605667,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_heart_ff_real_profile_mask_endothelial_cell,human_heart_ff_real,Endothelial cell,"Heart FF
Endothelial cell",SVTuner + CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.0991663510236083,0.9097803977248224,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_heart_ff_real_profile_mask_endothelial_cell,human_heart_ff_real,Endothelial cell,"Heart FF
Endothelial cell",Tangram,low_support_suppression_score,Low-support suppression score,higher,0.2,0.2028514756676889,0.8313578361326045,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_heart_ff_real_profile_mask_endothelial_cell,human_heart_ff_real,Endothelial cell,"Heart FF
Endothelial cell",CellTrek,low_support_suppression_score,Low-support suppression score,higher,0.2,0.0232958169000967,0.977234523472726,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_intestine_cancer_real_profile_mask_endothelial_cell,human_intestine_cancer_real,Endothelial cell,"Intestine
Endothelial cell",CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.1216465571565712,0.8915464444834109,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_intestine_cancer_real_profile_mask_endothelial_cell,human_intestine_cancer_real,Endothelial cell,"Intestine
Endothelial cell",SVTuner + CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.117355316427358,0.894970458633883,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_intestine_cancer_real_profile_mask_endothelial_cell,human_intestine_cancer_real,Endothelial cell,"Intestine
Endothelial cell",Tangram,low_support_suppression_score,Low-support suppression score,higher,0.2,0.1363704026652802,0.8799947602072066,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_intestine_cancer_real_profile_mask_endothelial_cell,human_intestine_cancer_real,Endothelial cell,"Intestine
Endothelial cell",CellTrek,low_support_suppression_score,Low-support suppression score,higher,0.2,0.0478239635861066,0.9543587804363316,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_lymph_node_real_profile_mask_b_cell,human_lymph_node_real,B cell,"Lymph node
B cell",CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.108447937385834,0.9021623535683616,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_lymph_node_real_profile_mask_b_cell,human_lymph_node_real,B cell,"Lymph node
B cell",SVTuner + CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.0829832088105845,0.9233753504805275,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_lymph_node_real_profile_mask_b_cell,human_lymph_node_real,B cell,"Lymph node
B cell",Tangram,low_support_suppression_score,Low-support suppression score,higher,0.2,0.0852557918904369,0.9214417536146686,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
human_lymph_node_real_profile_mask_b_cell,human_lymph_node_real,B cell,"Lymph node
B cell",CellTrek,low_support_suppression_score,Low-support suppression score,higher,0.2,0.0112138509949873,0.9889105049501118,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
mouse_embryo_real_profile_mask_erythroid,mouse_embryo_real,Erythroid,"Mouse embryo
Erythroid",CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.8404330188293514,0.5433503907879638,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
mouse_embryo_real_profile_mask_erythroid,mouse_embryo_real,Erythroid,"Mouse embryo
Erythroid",SVTuner + CytoSPACE,low_support_suppression_score,Low-support suppression score,higher,0.2,0.8084364346623932,0.5529638647137102,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
mouse_embryo_real_profile_mask_erythroid,mouse_embryo_real,Erythroid,"Mouse embryo
Erythroid",Tangram,low_support_suppression_score,Low-support suppression score,higher,0.2,0.6335727045421179,0.6121551842899425,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
mouse_embryo_real_profile_mask_erythroid,mouse_embryo_real,Erythroid,"Mouse embryo
Erythroid",CellTrek,low_support_suppression_score,Low-support suppression score,higher,0.2,0.2535526558476019,0.7977327440815322,Reciprocal transform of the mean reconstructed target-like score inside the lowest-support 20% of masked-ST spots. Higher is better.
