cell_type,truth_mass,recovered_mass,composition_recovery,group,sample,method
B_cell,381.52038989053176,144.11078463682682,0.3777276089442454,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CytoSPACE
Ciliated,853.119158810124,124.49998995194466,0.14593505334657972,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CytoSPACE
DC,172.5689823675429,62.97915523453332,0.3649506091448017,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CytoSPACE
Endothelia_vascular,326.6406208153388,319.2628026015186,0.9774130412947288,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CytoSPACE
Erythrocyte,52.52424252135606,15.323809482410596,0.29174736744047325,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CytoSPACE
Fibroblast,414.36011077008254,396.3361900807165,0.9565017958512734,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CytoSPACE
Macrophage_alveolar,644.723346490623,499.81892029845824,0.7752455731890077,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CytoSPACE
Mast_cell,421.54314833440094,122.61292468095021,0.29086684284970055,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CytoSPACE
B_cell,381.52038989053176,181.8513588976563,0.47664912208187415,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SVTuner + CytoSPACE
Ciliated,853.1191588101241,156.0,0.18285839485492134,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SVTuner + CytoSPACE
DC,172.5689823675429,85.99582189778806,0.49832722380335664,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SVTuner + CytoSPACE
Endothelia_vascular,326.6406208153388,321.5921191094411,0.9845441706138814,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SVTuner + CytoSPACE
Erythrocyte,52.52424252135606,11.651190480309385,0.22182500729205332,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SVTuner + CytoSPACE
Fibroblast,414.36011077008254,403.6668669572688,0.9741933561294293,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SVTuner + CytoSPACE
Macrophage_alveolar,644.723346490623,582.1801513361836,0.9029921973589503,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SVTuner + CytoSPACE
Mast_cell,421.54314833440094,150.44682709108542,0.3568954392581878,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SVTuner + CytoSPACE
B_cell,381.52038989053176,148.5381959043791,0.38933226071350635,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(all genes)"
Ciliated,853.119158810124,94.0788203527258,0.11027629538169195,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(all genes)"
DC,172.5689823675429,62.003189055650324,0.35929509582199404,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(all genes)"
Endothelia_vascular,326.6406208153388,303.9072654490751,0.9304025466596341,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(all genes)"
Erythrocyte,52.52424252135606,41.70613114178559,0.7940358421128704,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(all genes)"
Fibroblast,414.36011077008254,382.2909656167883,0.9226056169024229,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(all genes)"
Macrophage_alveolar,644.723346490623,463.70850596759664,0.7192364112323034,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(all genes)"
Mast_cell,421.5431483344009,132.85509373139638,0.3151636890703425,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(all genes)"
B_cell,381.52038989053176,164.33713592987485,0.4307427342927268,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(marker genes)"
Ciliated,853.119158810124,118.17717544709842,0.13852364494067204,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(marker genes)"
DC,172.5689823675429,61.84648443181265,0.358387026355003,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(marker genes)"
Endothelia_vascular,326.6406208153388,302.4201171247051,0.9258496887797479,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(marker genes)"
Erythrocyte,52.52424252135606,36.91019843416286,0.7027269059454857,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(marker genes)"
Fibroblast,414.36011077008254,384.2586280137805,0.9273542940695743,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(marker genes)"
Macrophage_alveolar,644.723346490623,432.8635810157093,0.6713943017138824,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(marker genes)"
Mast_cell,421.5431483344009,147.89756436423994,0.3508479854283293,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(marker genes)"
B_cell,381.52038989053176,119.8765617220769,0.3142074837899821,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,novoSpaRc
Ciliated,853.119158810124,115.77032361725463,0.13570240736208958,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,novoSpaRc
DC,172.5689823675429,69.79922656426672,0.4044714502378307,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,novoSpaRc
Endothelia_vascular,326.6406208153388,319.31504182630005,0.9775729700404281,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,novoSpaRc
Erythrocyte,52.52424252135606,33.215253139510494,0.6323794793614655,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,novoSpaRc
Fibroblast,414.36011077008254,374.3666417810581,0.9034813729663863,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,novoSpaRc
Macrophage_alveolar,644.723346490623,496.9114436301257,0.7707359231442891,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,novoSpaRc
Mast_cell,421.5431483344009,106.72627405596378,0.2531799519875014,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,novoSpaRc
B_cell,381.52038989053176,53.08007585336727,0.13912775636604202,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SpaOTsc
Ciliated,853.119158810124,90.68963050105403,0.10630359143210677,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SpaOTsc
DC,172.5689823675429,22.963525872524645,0.1330686752478855,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SpaOTsc
Endothelia_vascular,326.6406208153388,224.6020082885574,0.6876119930458149,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SpaOTsc
Erythrocyte,52.52424252135606,12.230085185285516,0.23284648379865416,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SpaOTsc
Fibroblast,414.36011077008254,216.77485265226898,0.5231556972252853,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SpaOTsc
Macrophage_alveolar,644.723346490623,381.2848164964563,0.5913929107296594,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SpaOTsc
Mast_cell,421.5431483344009,49.42730400697113,0.11725324964305087,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SpaOTsc
B_cell,381.52038989053176,377.4264176752889,0.9892693226267212,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CellTrek
Ciliated,853.119158810124,101.04914529709401,0.11844669558005344,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CellTrek
DC,172.5689823675429,54.82813511688008,0.3177172071404198,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CellTrek
Endothelia_vascular,326.6406208153388,323.4213625060635,0.9901443418113778,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CellTrek
Erythrocyte,52.52424252135606,7.0825757949236,0.1348439397682673,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CellTrek
Fibroblast,414.36011077008254,266.01604019611693,0.6419923957007585,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CellTrek
Macrophage_alveolar,644.723346490623,503.63115765179725,0.7811585548951765,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CellTrek
Mast_cell,421.5431483344009,384.8437574774848,0.9129403692079388,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CellTrek
B_cell,381.52038990591996,145.66532793385375,0.3818022097581042,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CytoSPACE
Ciliated,1262.8126029604168,125.20000000000002,0.09914376820954522,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CytoSPACE
DC,172.23564902137892,66.65000000029193,0.38696983103665683,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CytoSPACE
Endothelia_vascular,326.64062075415006,326.11652051639965,0.9983954835851696,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CytoSPACE
Erythrocyte,54.02424252135606,19.645238100197822,0.3636374557668617,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CytoSPACE
Macrophage_alveolar,645.3900131704945,505.7495107381683,0.7836339274195788,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CytoSPACE
Mast_cell,422.3764816662835,121.79737320790912,0.28836210938501144,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CytoSPACE
B_cell,381.52038990592,235.90188878112792,0.6183205276113801,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SVTuner + CytoSPACE
Ciliated,1262.812602960417,216.40000000000003,0.17136350990851104,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SVTuner + CytoSPACE
DC,172.23564902137892,87.36988538055965,0.507269464114916,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SVTuner + CytoSPACE
Endothelia_vascular,326.64062075415006,326.6406186447002,0.9999999935419855,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SVTuner + CytoSPACE
