method,count,mean,median,std
CytoSPACE,12,0.5848332044584905,0.6097151786105528,0.12286757975620716
SVTuner + CytoSPACE,12,0.6535597809789717,0.6408868057613011,0.09175486104837584
"Tangram
(all genes)",12,0.5673521302239606,0.596309226536218,0.11891003990278805
"Tangram
(marker genes)",12,0.5935124119402689,0.6233113384654282,0.1265316706375308
novoSpaRc,12,0.6225595439181274,0.6439172503268475,0.12245653098009059
SpaOTsc,12,0.48425289071135574,0.45526128460369086,0.1419289910627935
CellTrek,12,0.49879334195559005,0.5552119114098006,0.1726105547770348
