method,count,mean,median,std
CytoSPACE,9,0.6492551248785475,0.6473913964802062,0.15904711214932932
SVTuner + CytoSPACE,9,0.6500851156450079,0.6603854764480942,0.10184603880380118
"Tangram
(all genes)",9,0.5496976521476274,0.5260693397779401,0.15569637418016302
"Tangram
(marker genes)",9,0.581626775062904,0.5223010259843077,0.1704089240834341
novoSpaRc,9,0.6211835870548189,0.6239688573720654,0.16332445302436122
SpaOTsc,9,0.5086441463898171,0.46154295204523726,0.207634989834991
CellTrek,9,0.6554216468349758,0.689416434565175,0.11087236172394241
