asset_class	record_count	total_bytes	validation_status
AUDIT_OR_PROVENANCE_RECORD	51	284105	PASS
CONFIGURATION	84	144772	PASS
DOCUMENTATION	3	1573	PASS
ENVIRONMENT_SPECIFICATION	4	5265	PASS
FIGURE_SCRIPT	22	310518	PASS
FROZEN_MANIFEST_OR_RELEASE_RECORD	6	256758	PASS
SOURCE_CODE	151	2788366	PASS
SOURCE_VALUE_TABLE	161	41974849	PASS
