method,count,mean,median,std
CytoSPACE,9,0.5471063324397066,0.5547460108133919,0.12297776687724869
SVTuner + CytoSPACE,9,0.6002449951399553,0.6142182042403599,0.08356824508117737
"Tangram
(all genes)",9,0.5179182137832118,0.517104675960695,0.136460318219022
"Tangram
(marker genes)",9,0.5330676272272376,0.528540459381562,0.14806138117699066
novoSpaRc,9,0.5489126064007571,0.5641809117037331,0.1301930275151822
SpaOTsc,9,0.42934828101248884,0.40707180574155033,0.14719490189272202
CellTrek,9,0.6062218112840605,0.601076452492036,0.1143497383631093
