condition,neighbor_type,neighborhood_state,mean_neighbor_fraction
SVTuner,Endothelial cells,3,0.02032520325203252
SVTuner,Endothelial cells,4,0.07936507936507937
SVTuner,Epithelial cells,1,0.0022095959595959595
SVTuner,Epithelial cells,2,0.004157218442932729
SVTuner,Epithelial cells,3,0.0
SVTuner,Epithelial cells,4,0.10317460317460317
SVTuner,Fibroblasts,1,0.018623737373737365
SVTuner,Fibroblasts,2,0.15306122448979592
SVTuner,Fibroblasts,3,0.01490514905149052
SVTuner,Fibroblasts,4,0.09126984126984128
SVTuner,Monocytes and Macrophages,1,0.02020202020202019
SVTuner,Monocytes and Macrophages,2,0.030990173847316702
SVTuner,Monocytes and Macrophages,3,0.32384823848238486
SVTuner,Monocytes and Macrophages,4,0.015873015873015872
SVTuner,NK cells,1,0.09343434343434333
SVTuner,NK cells,2,0.06613756613756606
SVTuner,NK cells,3,0.03252032520325204
SVTuner,NK cells,4,0.06349206349206349
SVTuner,PVL,1,0.020202020202020197
SVTuner,PVL,2,0.09523809523809514
SVTuner,PVL,3,0.01084010840108401
SVTuner,PVL,4,0.13888888888888887
SVTuner,Plasma cells,1,0.0
SVTuner,Plasma cells,2,0.0
SVTuner,Plasma cells,3,0.0
SVTuner,Plasma cells,4,0.0
SVTuner,T-cells,1,0.019886363636363633
SVTuner,T-cells,2,0.005291005291005292
SVTuner,T-cells,3,0.0027100271002710027
SVTuner,T-cells,4,0.07936507936507937
SVTuner,Abstained,1,0.456439393939394
SVTuner,Abstained,2,0.3730158730158731
SVTuner,Abstained,3,0.46341463414634126
SVTuner,Abstained,4,0.17857142857142858
