method,focal_assigned_type,neighboring_assigned_type,coupling_change_vs_ideal_abstention
CytoSPACE dropout,NK cells,Plasma cells,0.0
CytoSPACE dropout,NK cells,T-cells,0.0053399960807368205
CytoSPACE dropout,NK cells,Abstained,0.0
CytoSPACE dropout,PVL,B cells,0.007005682931608855
CytoSPACE dropout,PVL,CD4 T cells,0.006368802665098961
CytoSPACE dropout,PVL,CD8 T cells,0.005731922398589064
CytoSPACE dropout,PVL,Endothelial cells,0.007495590828924159
CytoSPACE dropout,PVL,Epithelial cells,0.0004409171075837742
CytoSPACE dropout,PVL,Fibroblasts,0.01165980795610425
CytoSPACE dropout,PVL,Monocytes and Macrophages,0.00416421712718009
CytoSPACE dropout,PVL,NK cells,0.00734861845972957
CytoSPACE dropout,PVL,PVL,0.008769351361943954
CytoSPACE dropout,PVL,Plasma cells,0.0
CytoSPACE dropout,PVL,T-cells,0.0009798157946306096
CytoSPACE dropout,PVL,Abstained,0.0
CytoSPACE dropout,Plasma cells,B cells,0.0
CytoSPACE dropout,Plasma cells,CD4 T cells,0.0
CytoSPACE dropout,Plasma cells,CD8 T cells,0.0
CytoSPACE dropout,Plasma cells,Endothelial cells,0.0
CytoSPACE dropout,Plasma cells,Epithelial cells,0.0
CytoSPACE dropout,Plasma cells,Fibroblasts,0.0
CytoSPACE dropout,Plasma cells,Monocytes and Macrophages,0.0
CytoSPACE dropout,Plasma cells,NK cells,0.0
CytoSPACE dropout,Plasma cells,PVL,0.0
CytoSPACE dropout,Plasma cells,Plasma cells,0.0
CytoSPACE dropout,Plasma cells,T-cells,0.0
CytoSPACE dropout,Plasma cells,Abstained,0.0
CytoSPACE dropout,T-cells,B cells,0.0038702723887909067
CytoSPACE dropout,T-cells,CD4 T cells,0.004703115814226926
CytoSPACE dropout,T-cells,CD8 T cells,0.003674309229864785
CytoSPACE dropout,T-cells,Endothelial cells,0.0019106407995296882
CytoSPACE dropout,T-cells,Epithelial cells,0.00034293552812071334
CytoSPACE dropout,T-cells,Fibroblasts,0.0020086223789927493
CytoSPACE dropout,T-cells,Monocytes and Macrophages,0.0013717421124828533
CytoSPACE dropout,T-cells,NK cells,0.002988438173623358
CytoSPACE dropout,T-cells,PVL,0.0019106407995296882
CytoSPACE dropout,T-cells,Plasma cells,0.0
CytoSPACE dropout,T-cells,T-cells,0.0010288065843621398
CytoSPACE dropout,T-cells,Abstained,0.0
CytoSPACE dropout,Abstained,B cells,-0.06951793062904174
CytoSPACE dropout,Abstained,CD4 T cells,-0.06995884773662552
CytoSPACE dropout,Abstained,CD8 T cells,-0.07128159905937682
CytoSPACE dropout,Abstained,Endothelial cells,-0.062022339800117586
CytoSPACE dropout,Abstained,Epithelial cells,-0.007054673721340388
CytoSPACE dropout,Abstained,Fibroblasts,-0.06922398589065255
CytoSPACE dropout,Abstained,Monocytes and Macrophages,-0.05085243974132864
CytoSPACE dropout,Abstained,NK cells,-0.0667254556143445
CytoSPACE dropout,Abstained,PVL,-0.05555555555555555
CytoSPACE dropout,Abstained,Plasma cells,-0.014403292181069957
CytoSPACE dropout,Abstained,T-cells,-0.015432098765432096
CytoSPACE dropout,Abstained,Abstained,-0.4479717813051146
SVTuner,B cells,B cells,0.018714481677444644
SVTuner,B cells,CD4 T cells,0.00945522241818538
SVTuner,B cells,CD8 T cells,0.0114148540074466
SVTuner,B cells,Endothelial cells,0.004458161865569273
SVTuner,B cells,Epithelial cells,4.899078973153047e-05
SVTuner,B cells,Fibroblasts,0.005388986870468351
SVTuner,B cells,Monocytes and Macrophages,0.005046051342347639
SVTuner,B cells,NK cells,0.010190084264158336
SVTuner,B cells,PVL,0.003723300019596316
SVTuner,B cells,Plasma cells,0.0
SVTuner,B cells,T-cells,0.0013717421124828533
SVTuner,B cells,Abstained,0.0069077013521457965
SVTuner,CD4 T cells,B cells,0.00955320399764844
SVTuner,CD4 T cells,CD4 T cells,0.009847148736037621
SVTuner,CD4 T cells,CD8 T cells,0.007348618459729568
SVTuner,CD4 T cells,Endothelial cells,0.005095042132079168
SVTuner,CD4 T cells,Epithelial cells,0.0004899078973153048
