file_path,file_type,file_size_mb,detected_role,read_success,n_rows,n_cols,candidate_reference,notes
data/processed/cell2location_mouse_brain/cell2loc_mouse_brain_st8059048_sc_missing_thalamic_excitatory/stage1_preprocess/exported/sc_expression_normalized.csv,csv,33.986,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_mouse_brain_st8059048_sc_missing_thalamic_excitatory/stage1_preprocess/exported/st_expression_normalized.csv,csv,35.461,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059048_sc_missing_hippocampal_excitatory/stage1_preprocess/exported/sc_expression_normalized.csv,csv,32.537,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059048_sc_missing_hippocampal_excitatory/stage1_preprocess/exported/st_expression_normalized.csv,csv,35.598,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059048_sc_missing_oligodendrocyte/stage1_preprocess/exported/sc_expression_normalized.csv,csv,33.394,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059048_sc_missing_oligodendrocyte/stage1_preprocess/exported/st_expression_normalized.csv,csv,35.502,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059048_sc_missing_oligodendrocyte_opc/stage1_preprocess/exported/sc_expression_normalized.csv,csv,32.155,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059048_sc_missing_oligodendrocyte_opc/stage1_preprocess/exported/st_expression_normalized.csv,csv,35.447,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059048_sc_missing_thalamic_excitatory/stage1_preprocess/exported/sc_expression_normalized.csv,csv,33.986,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059048_sc_missing_thalamic_excitatory/stage1_preprocess/exported/st_expression_normalized.csv,csv,35.461,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059049_sc_missing_astrocyte/stage1_preprocess/exported/sc_expression_normalized.csv,csv,29.059,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059049_sc_missing_astrocyte/stage1_preprocess/exported/st_expression_normalized.csv,csv,40.282,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
