record_id	file_path	file_name	file_size	modified_time	sha1	n_cells	n_genes	obs_columns	study_counts	donor_count	organ_counts	evidence_id	read_only
LR03_BRCA_FFPE	data/raw/low_resolution/Human Breast Cancer/sc_human_breast_heca.h5ad	sc_human_breast_heca.h5ad	329172848	1749447966000000000	3cf6406ce45033dbf57d9ae402fa35ddbd7f8b02	11227	42117	_index;batch_tech;cell_id;cell_type;cid;donor_ID;donor_age;donor_gender;donor_status;ethnicity;organ;original_name;region;sample_status;seq_tech;study_id;subregion;treatment	"{""10.1101/2021.07.19.452956"": 11227}"	1	"{""Breast"": 11227}"	E044	true
LR04_BRCA_FF	data/raw/low_resolution/Human Breast Cancer Visium FF WTA/sc_human_breast_heca.h5ad	sc_human_breast_heca.h5ad	329172848	1749447966000000000	3cf6406ce45033dbf57d9ae402fa35ddbd7f8b02	11227	42117	_index;batch_tech;cell_id;cell_type;cid;donor_ID;donor_age;donor_gender;donor_status;ethnicity;organ;original_name;region;sample_status;seq_tech;study_id;subregion;treatment	"{""10.1101/2021.07.19.452956"": 11227}"	1	"{""Breast"": 11227}"	E045	true
LR05_BRCA_ILC	data/raw/low_resolution/Human Breast Cancer WTA 1.2.0/sc_human_breast_heca.h5ad	sc_human_breast_heca.h5ad	329172848	1749447966000000000	3cf6406ce45033dbf57d9ae402fa35ddbd7f8b02	11227	42117	_index;batch_tech;cell_id;cell_type;cid;donor_ID;donor_age;donor_gender;donor_status;ethnicity;organ;original_name;region;sample_status;seq_tech;study_id;subregion;treatment	"{""10.1101/2021.07.19.452956"": 11227}"	1	"{""Breast"": 11227}"	E046	true
LR06_CERVICAL	data/raw/low_resolution/Human Cervical Cancer/sc_human_uterus_heca.h5ad	sc_human_uterus_heca.h5ad	2625120212	1749448415000000000	f13580cfc1d9a2a826ecba69b2e4ef253c2ae404	111954	42117	_index;batch_tech;cell_id;cell_type;cid;donor_ID;donor_age;donor_gender;donor_status;ethnicity;nCount_RNA;nFeature_RNA;organ;original_name;region;sample_status;seq_tech;study_id;subregion;treatment	"{""10.1038/s41586-018-0698-6"": 46366, ""10.1038/s41586-020-2157-4"": 7920, ""10.1038/s41588-021-00972-2"": 50672, ""10.1101/2021.07.19.452956"": 6996}"	32	"{""Uterus"": 111954}"	E047	true
LR08_INTESTINE	data/raw/low_resolution/Human Intestine Cancer/sc_human_intestine_heca.h5ad	sc_human_intestine_heca.h5ad	9094747037	1749448021000000000	31e919a4fad454333516d57bc37ec87a756ff98e	465681	42117	_index;batch_tech;cell_id;cell_type;cid;donor_ID;donor_age;donor_gender;donor_status;ethnicity;organ;original_name;region;sample_status;seq_tech;study_id;subregion;treatment	"{""10.1038/s41586-020-2157-4"": 55214, ""10.1038/s41586-021-03852-1"": 401305, ""10.1186/s13059-020-02210-0"": 9162}"	49	"{""Intestine"": 465681}"	E048	true
