morphology_domain,interface_band_spots,domain_spots,interface_band_fraction
immune_enriched,166,312,0.532051282051282
mixed_boundary,94,94,1.0
stroma_rich,136,147,0.9251700680272109
tumor_core,539,1602,0.3364544319600499
unmapped_or_excluded,13,93,0.13978494623655913
